Date,AAL,AAPL,ACB,AMC,AMD,AMZN,APHA,BA,BABA,BAC,BP,BRK.B,BYND,CCL,CGC,CPRX,CRBP,CRON,DAL,DIS,DKNG,ET,F,FB,FCEL,FIT,GE,GILD,GM,GNUS,GOOGL,GPRO,GPS,GUSH,HAL,IBIO,INO,INTC,IVR,JBLU,JNJ,JPM,KO,KODK,KOS,LUV,LYFT,MFA,MGM,MRNA,MRO,MSFT,NCLH,NFLX,NIO,NKE,NKLA,NOK,NRZ,NVAX,NVDA,NYMT,PENN,PFE,PLAY,PLUG,PSEC,PTON,PYPL,RCL,SAVE,SBUX,SIRI,SNAP,SNE,SPCE,SPHD,SPY,SQ,SRNE,T,TLRY,TOPS,TSLA,TWTR,TXMD,UAL,UBER,UCO,USO,V,VOO,VSLR,WFC,WKHS,WMT,WORK,XOM,ZM,ZNGA
2015-08-13,42.67,115.15,4.32,29.07,1.79,529.66,11.75,144.81,75.11,17.62,35.92,141.95,25.0,52.11,30.85,4.18,1.82,8.24,47.45,107.52,9.8,29.49,14.71,93.43,9.7356,42.25,25.79,115.2,31.06,6.24,686.51,59.5,34.25,37020.0,41.76,7.5,7.34,28.87,13.69,23.82,98.48,67.55,41.1,14.71,7.24,38.97,72.0,7.46,22.25,22.0,18.02,46.73,59.39,123.73,6.0,56.8,33.69,6.64,14.54,268.8,23.52,6.56,18.74,35.36,37.19,2.27,7.35,28.84,37.62,90.08,59.96,56.85,3.99,24.0,26.97,10.75,33.12,208.66,11.2,14.91,33.81,23.05,51615000.0,242.51,28.54,6.36,58.35,45.0,1128.0,112.72,73.93,191.28,13.6,56.89,6.8,72.11,38.5,78.65,36.0,2.7
2015-08-14,42.88,115.96,4.32,29.46,1.84,531.52,11.75,145.09,74.76,17.7,35.77,142.57,25.0,52.44,30.85,4.11,1.85,8.24,47.63,107.16,9.8,29.85,14.78,94.42,9.7188,44.65,26.08,115.6,31.49,6.24,689.37,58.85,34.23,36020.0,41.99,7.79,7.37,29.02,13.79,24.0,98.81,67.89,41.25,15.11,7.06,39.36,72.0,7.49,22.48,22.0,17.4,47.0,59.4,123.39,6.0,57.18,33.69,6.61,14.68,266.0,23.54,6.63,18.61,35.32,36.99,2.29,7.4,28.84,38.14,89.89,60.27,57.1,3.94,24.0,27.12,10.75,33.23,209.42,11.2,14.89,34.05,23.05,51745500.0,243.15,29.06,6.31,58.53,45.0,1112.0,111.92,74.22,192.02,13.64,57.33,6.8,72.38,38.5,78.36,36.0,2.7
2015-08-17,43.95,117.16,4.32,30.76,1.8,535.22,11.75,144.44,75.19,17.77,35.53,142.32,25.0,52.89,30.85,4.2,1.92,8.24,47.99,109.05,9.8,30.73,14.68,93.93,9.6,44.93,26.21,116.42,31.61,6.06,694.11,58.55,34.48,35800.0,41.29,8.0,7.88,29.08,13.94,24.4,99.87,68.07,41.35,15.27,7.0,40.45,72.0,7.52,22.64,22.0,17.36,47.32,60.12,125.36,6.0,57.49,33.69,6.61,15.07,282.8,23.39,6.7,18.7,35.5,37.27,2.28,7.39,28.84,38.73,90.48,62.1,57.74,3.95,24.0,26.83,10.75,33.32,210.59,11.2,16.29,34.23,23.05,49950000.0,254.99,29.06,6.45,59.6,45.0,1094.5,111.12,74.41,193.09,13.85,57.35,6.8,71.91,38.5,78.77,36.0,2.65
2015-08-18,43.63,116.5,4.32,30.59,1.8,535.02,11.75,144.6,73.88,17.69,35.25,141.36,25.0,52.8,30.85,4.07,1.86,8.24,47.36,106.94,9.8,30.15,14.83,95.17,9.9,43.77,26.07,117.06,31.71,6.24,688.73,57.49,34.65,35700.0,41.01,8.1,7.44,28.91,13.83,24.04,99.37,68.21,41.3,15.1,7.11,40.19,72.0,7.53,22.48,22.0,17.48,47.27,60.03,124.05,6.0,57.41,33.69,6.6,14.84,269.8,23.08,6.66,18.68,35.52,36.26,2.26,7.33,28.84,37.99,90.39,61.33,57.83,3.935,24.0,26.87,10.75,33.24,209.98,11.2,15.22,34.35,23.05,49045500.0,260.72,28.3,6.49,58.51,45.0,1106.0,112.4,74.47,192.5,13.58,57.54,6.8,69.48,38.5,77.9,36.0,2.62
2015-08-19,43.53,115.01,4.32,31.0,1.8,532.92,11.75,142.72,73.12,17.46,34.66,140.47,25.0,52.3,30.85,3.85,2.5,8.24,47.08,106.45,9.8,29.75,14.77,95.31,9.822000000000001,43.1,25.73,116.21,31.63,6.24,694.04,54.67,34.1,32220.0,39.3,8.0,7.64,28.36,13.81,23.94,99.31,67.6,40.78,14.7,6.77,40.45,72.0,7.52,22.07,22.0,16.23,46.61,59.72,122.06,6.0,57.48,33.69,6.46,15.07,262.4,22.99,6.67,18.35,35.27,35.33,2.19,7.29,28.84,37.19,90.04,60.64,57.59,3.9,24.0,26.63,10.75,33.11,208.32,11.2,14.7,34.36,23.05,49950000.0,255.25,27.61,6.5,58.23,45.0,1011.5,107.44,74.4,190.98,13.38,57.06,6.8,68.57,38.5,76.23,36.0,2.58
2015-08-20,41.98,112.65,4.32,29.8,1.7,515.78,11.75,137.02,70.32,16.72,34.38,138.39,25.0,49.93,30.85,3.44,2.05,8.24,45.71,100.02,9.8,28.25,14.43,90.56,9.36,41.41,25.19,112.39,30.84,6.24,679.48,50.6,33.66,29620.0,37.7,7.599,7.05,27.53,13.85,22.97,98.79,65.94,40.55,14.47,6.64,39.06,72.0,7.46,21.28,22.0,16.13,45.66,57.0,112.49,6.0,56.15,33.69,6.23,14.85,246.8,22.16,6.79,17.81,34.55,34.81,2.02,7.18,28.84,35.98,87.29,57.31,55.81,3.8,24.0,25.52,10.75,32.81,203.97,11.2,13.76,33.95,23.05,49122000.0,242.18,26.0,6.27,56.59,45.0,997.5,106.96,73.95,186.97,13.17,56.12,6.8,68.43,38.5,74.57,36.0,2.52
2015-08-21,39.75,105.76,4.32,29.27,1.78,494.47,11.75,131.71,68.18,16.1,33.17,134.22,25.0,48.38,30.85,3.66,2.05,8.24,43.6,98.84,9.8,27.5,13.86,86.06,8.8392,38.65,24.59,105.33,29.6,6.0,644.03,48.39,32.19,26610.0,35.69,7.301,7.035,26.56,13.71,21.67,95.56,63.6,39.53,14.34,6.5,37.91,72.0,7.3,20.59,22.0,15.73,43.07,56.1,103.96,6.0,53.435,33.69,6.14,14.41,243.0,21.47,6.62,17.69,33.54,34.47,1.92,7.25,28.84,34.25,85.71,55.03,52.84,3.72,24.0,24.51,10.75,32.07,197.63,11.2,12.96,33.38,23.05,49927500.0,230.77,25.87,6.16,55.09,45.0,973.5,105.84,71.19,181.04,12.48,53.97,6.8,66.54,38.5,72.13,36.0,2.44
2015-08-24,37.62,103.12,4.32,28.0,1.75,463.37,11.75,127.19,65.8,15.29,31.19,129.57,25.0,46.48,30.85,3.25,1.92,8.24,42.15,95.36,9.8,26.76,13.19,82.09,8.4012,37.36,23.87,100.655,27.8,5.52,618.11,47.86,32.01,22640.0,33.56,6.8,6.54,26.25,13.24,21.22,92.82,60.25,38.38,13.69,6.2,37.21,72.0,7.06,19.54,22.0,14.39,41.68,54.93,96.88,6.0,51.935,33.69,5.87,13.89,214.6,20.71,6.37,17.2,32.13,32.65,1.76,6.98,28.84,33.75,83.99,53.97,50.34,3.6,24.0,23.25,10.75,31.142,189.55,11.2,11.89,32.37,23.05,46350000.0,218.87,25.17,5.81,52.33,45.0,864.5,99.92,68.36,173.66,11.85,51.25,6.8,63.95,38.5,68.72,36.0,2.37
2015-08-25,37.5,103.74,4.32,28.46,1.66,466.37,11.75,125.49,68.57,15.26,30.71,127.74,25.0,47.34,30.85,3.25,1.91,8.24,41.37,95.89,9.8,26.38,12.9,83.0,8.8512,36.77,23.27,102.56,27.28,5.85,612.47,47.03,31.71,20900.0,33.47,7.2,6.59,25.87,13.17,21.48,90.73,59.91,37.99,13.38,6.11,36.52,72.0,7.05,19.21,22.0,14.04,40.47,54.79,101.52,6.0,51.765,33.69,6.05,13.82,205.0,20.28,6.4,17.33,31.34,32.42,1.85,7.0,28.84,32.7,85.06,51.54,51.09,3.63,24.0,23.79,10.75,30.36,187.27,11.2,11.67,31.8,23.05,49500000.0,220.03,24.38,5.65,52.1,45.0,892.5,101.84,66.97,171.55,11.53,50.02,6.8,63.1,38.5,68.71,36.0,2.44
2015-08-26,38.85,109.69,4.32,28.77,1.72,500.77,11.75,129.34,68.66,16.06,31.1,132.61,25.0,48.85,30.85,3.46,1.85,8.24,43.7,99.23,9.8,26.55,13.21,87.19,8.7132,38.4,24.01,106.96,28.1,5.64,659.74,46.28,32.84,22300.2,34.43,7.2,6.8,27.3,13.44,22.21,95.11,62.91,38.73,13.49,6.22,37.39,72.0,7.17,19.61,22.0,14.65,42.71,56.86,110.13,6.0,54.38,33.69,6.25,14.08,215.8,21.81,6.52,17.68,32.43,33.46,1.72,7.04,28.84,33.17,88.9,51.08,53.96,3.72,24.0,25.04,10.75,31.24,194.46,11.2,12.47,32.69,23.05,48150000.0,224.84,25.03,5.81,53.95,45.0,904.5,102.16,70.69,178.36,11.37,52.3,6.8,64.83,38.5,72.5,36.0,2.43
