,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
0,2015-09-08T00:00:00Z,1.850000,1.880000,1.880000,1.830000,6009499,reg,False,AMD
1,2015-09-09T00:00:00Z,1.900000,1.850000,1.970000,1.830000,12612253,reg,False,AMD
2,2015-09-10T00:00:00Z,1.840000,1.840000,1.880000,1.830000,4290423,reg,False,AMD
3,2015-09-11T00:00:00Z,1.880000,2.010000,2.140000,1.810000,31010289,reg,False,AMD
4,2015-09-14T00:00:00Z,2.000000,1.820000,2.000000,1.810000,16458540,reg,False,AMD
5,2015-09-15T00:00:00Z,1.840000,1.860000,1.870000,1.810000,6524360,reg,False,AMD
6,2015-09-16T00:00:00Z,1.870000,1.890000,1.900000,1.850000,4928291,reg,False,AMD
7,2015-09-17T00:00:00Z,1.900000,1.890000,1.940000,1.870000,5831567,reg,False,AMD
8,2015-09-18T00:00:00Z,1.870000,1.870000,1.920000,1.850000,11814043,reg,False,AMD
9,2015-09-21T00:00:00Z,1.870000,1.810000,1.896900,1.810000,5377758,reg,False,AMD
10,2015-09-22T00:00:00Z,1.800000,1.730000,1.835100,1.715000,9975166,reg,False,AMD
11,2015-09-23T00:00:00Z,1.760000,1.700000,1.775000,1.690000,9649200,reg,False,AMD
12,2015-09-24T00:00:00Z,1.680000,1.720000,1.730000,1.660000,11247701,reg,False,AMD
13,2015-09-25T00:00:00Z,1.750000,1.710000,1.750000,1.680000,5644642,reg,False,AMD
14,2015-09-28T00:00:00Z,1.690000,1.660000,1.700000,1.660000,5693063,reg,False,AMD
15,2015-09-29T00:00:00Z,1.670000,1.670000,1.690000,1.650000,7005323,reg,False,AMD
16,2015-09-30T00:00:00Z,1.700000,1.720000,1.720000,1.680000,5739499,reg,False,AMD
17,2015-10-01T00:00:00Z,1.770000,1.740000,1.770000,1.720000,5531739,reg,False,AMD
18,2015-10-02T00:00:00Z,1.760000,1.830000,1.830000,1.720000,7146087,reg,False,AMD
