,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
0,2015-09-08T00:00:00Z,31.610000,31.410000,31.630000,31.220000,22933841,reg,False,BP
1,2015-09-09T00:00:00Z,31.880000,30.900000,32.050000,30.880000,12873423,reg,False,BP
2,2015-09-10T00:00:00Z,31.100000,31.210000,31.430000,30.790000,10589135,reg,False,BP
3,2015-09-11T00:00:00Z,31.050000,31.010000,31.089700,30.780000,6227212,reg,False,BP
4,2015-09-14T00:00:00Z,30.740000,30.680000,30.810000,30.440000,5631939,reg,False,BP
5,2015-09-15T00:00:00Z,30.930000,31.110000,31.305000,30.900000,5616158,reg,False,BP
6,2015-09-16T00:00:00Z,31.650000,32.130000,32.250000,31.650000,7845767,reg,False,BP
7,2015-09-17T00:00:00Z,32.000000,32.110000,32.619900,31.940000,8036076,reg,False,BP
8,2015-09-18T00:00:00Z,31.510000,31.090000,31.680000,30.970000,7820624,reg,False,BP
9,2015-09-21T00:00:00Z,31.040000,31.060000,31.169900,30.900000,5550410,reg,False,BP
10,2015-09-22T00:00:00Z,30.110000,30.390000,30.460000,30.025000,10359644,reg,False,BP
11,2015-09-23T00:00:00Z,30.640000,29.920000,30.660000,29.880000,7490696,reg,False,BP
12,2015-09-24T00:00:00Z,29.690000,30.160000,30.320000,29.500000,9745786,reg,False,BP
13,2015-09-25T00:00:00Z,30.500000,30.430000,30.650000,30.250000,6921548,reg,False,BP
14,2015-09-28T00:00:00Z,29.880000,29.380000,29.880000,29.350000,7904964,reg,False,BP
15,2015-09-29T00:00:00Z,29.870000,29.630000,29.950000,29.460000,8066109,reg,False,BP
16,2015-09-30T00:00:00Z,30.190000,30.560000,30.570000,30.080000,6144123,reg,False,BP
17,2015-10-01T00:00:00Z,31.660000,30.960000,31.880000,30.780000,9688133,reg,False,BP
18,2015-10-02T00:00:00Z,31.480000,32.520000,32.530000,31.420000,12250494,reg,False,BP
19,2015-10-05T00:00:00Z,33.190000,33.490000,33.600000,33.180000,10676382,reg,False,BP
20,2015-10-06T00:00:00Z,33.790000,34.310000,34.625000,33.760000,12439186,reg,False,BP
21,2015-10-07T00:00:00Z,35.720000,35.710000,36.100000,35.330000,25008576,reg,False,BP
22,2015-10-08T00:00:00Z,35.320000,35.960000,36.060000,35.280000,8501269,reg,False,BP
23,2015-10-09T00:00:00Z,36.280000,35.960000,36.310000,35.785000,8833621,reg,False,BP
24,2015-10-12T00:00:00Z,35.740000,35.370000,35.765000,35.230000,7051726,reg,False,BP
25,2015-10-13T00:00:00Z,34.400000,34.730000,35.160000,34.310000,7100452,reg,False,BP
26,2015-10-14T00:00:00Z,35.060000,35.320000,35.430000,34.900000,7487142,reg,False,BP
27,2015-10-15T00:00:00Z,35.360000,35.680000,35.685000,35.030000,6131537,reg,False,BP
28,2015-10-16T00:00:00Z,35.900000,35.860000,35.910000,35.360000,5664811,reg,False,BP
29,2015-10-19T00:00:00Z,35.340000,34.940000,35.386600,34.710000,4922885,reg,False,BP
30,2015-10-20T00:00:00Z,34.490000,34.970000,35.080000,34.460000,5405602,reg,False,BP
31,2015-10-21T00:00:00Z,35.310000,35.140000,35.471000,35.050000,6504271,reg,False,BP
32,2015-10-22T00:00:00Z,35.630000,35.920000,35.990000,35.560000,8136686,reg,False,BP
33,2015-10-23T00:00:00Z,35.840000,35.720000,36.000000,35.520000,4767038,reg,False,BP
34,2015-10-26T00:00:00Z,35.610000,35.050000,35.640000,35.050000,5107492,reg,False,BP
35,2015-10-27T00:00:00Z,34.820000,34.820000,35.190000,34.604600,10142486,reg,False,BP
36,2015-10-28T00:00:00Z,35.090000,35.740000,36.090000,35.070000,9689713,reg,False,BP
37,2015-10-29T00:00:00Z,35.380000,35.710000,36.010000,35.335000,7276127,reg,False,BP
38,2015-10-30T00:00:00Z,35.620000,35.700000,36.000000,35.330000,5457422,reg,False,BP
39,2015-11-02T00:00:00Z,35.640000,36.280000,36.340000,35.540000,7194918,reg,False,BP
40,2015-11-03T00:00:00Z,36.360000,37.230000,37.530000,36.320000,9949471,reg,False,BP
