,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
0,2015-09-08T00:00:00Z,49.980000,50.680000,50.680000,49.750000,3924965,reg,False,CCL
1,2015-09-09T00:00:00Z,50.870000,50.530000,51.450000,50.410000,3003683,reg,False,CCL
2,2015-09-10T00:00:00Z,50.640000,50.720000,50.990000,50.240000,3080975,reg,False,CCL
3,2015-09-11T00:00:00Z,50.400000,51.380000,51.400000,50.330000,2501693,reg,False,CCL
4,2015-09-14T00:00:00Z,50.820000,51.380000,51.830000,50.770000,3826994,reg,False,CCL
5,2015-09-15T00:00:00Z,51.400000,51.940000,52.160000,51.100000,3758108,reg,False,CCL
6,2015-09-16T00:00:00Z,52.570000,52.870000,52.960000,52.190000,3634734,reg,False,CCL
7,2015-09-17T00:00:00Z,52.760000,52.740000,53.540000,52.460000,3581083,reg,False,CCL
8,2015-09-18T00:00:00Z,52.720000,52.070000,52.740000,51.950000,8391264,reg,False,CCL
9,2015-09-21T00:00:00Z,52.650000,52.680000,53.010000,52.110000,6855514,reg,False,CCL
10,2015-09-22T00:00:00Z,52.020000,49.790000,52.050000,49.550000,9986111,reg,False,CCL
11,2015-09-23T00:00:00Z,50.810000,51.500000,51.570000,49.790000,6754119,reg,False,CCL
12,2015-09-24T00:00:00Z,50.830000,50.880000,51.130000,50.540000,4989381,reg,False,CCL
13,2015-09-25T00:00:00Z,51.410000,50.700000,51.620000,50.410000,3987950,reg,False,CCL
14,2015-09-28T00:00:00Z,50.530000,48.640000,50.650000,48.090000,5503090,reg,False,CCL
15,2015-09-29T00:00:00Z,48.810000,48.230000,48.840000,47.790000,4452355,reg,False,CCL
16,2015-09-30T00:00:00Z,49.810000,49.700000,49.940000,48.910000,5182209,reg,False,CCL
17,2015-10-01T00:00:00Z,49.950000,49.510000,50.440000,48.980000,4636912,reg,False,CCL
18,2015-10-02T00:00:00Z,49.200000,49.760000,49.770000,48.410000,4515750,reg,False,CCL
19,2015-10-05T00:00:00Z,50.170000,50.380000,50.470000,49.750000,5150130,reg,False,CCL
20,2015-10-06T00:00:00Z,50.540000,49.160000,50.740000,48.959000,5198300,reg,False,CCL
21,2015-10-07T00:00:00Z,48.310000,49.250000,49.320000,48.240000,5599418,reg,False,CCL
22,2015-10-08T00:00:00Z,48.940000,49.620000,49.770000,48.890000,4458449,reg,False,CCL
23,2015-10-09T00:00:00Z,48.890000,49.360000,49.490000,48.650000,4881067,reg,False,CCL
24,2015-10-12T00:00:00Z,49.080000,50.360000,50.480000,49.050000,3372268,reg,False,CCL
25,2015-10-13T00:00:00Z,49.920000,49.870000,50.615000,49.780000,2588234,reg,False,CCL
26,2015-10-14T00:00:00Z,50.090000,48.360000,50.220000,48.270000,4489893,reg,False,CCL
27,2015-10-15T00:00:00Z,49.130000,50.610000,50.680000,48.900000,4667298,reg,False,CCL
28,2015-10-16T00:00:00Z,50.740000,51.100000,51.160000,50.540000,4154288,reg,False,CCL
29,2015-10-19T00:00:00Z,50.940000,51.860000,51.942500,50.750000,4471497,reg,False,CCL
30,2015-10-20T00:00:00Z,51.880000,51.670000,52.253300,51.320000,2986327,reg,False,CCL
31,2015-10-21T00:00:00Z,51.860000,51.460000,52.150000,51.200000,3056556,reg,False,CCL
32,2015-10-22T00:00:00Z,51.700000,52.380000,52.400000,51.510000,2990184,reg,False,CCL
33,2015-10-23T00:00:00Z,53.050000,53.580000,53.830000,52.850000,5563088,reg,False,CCL
34,2015-10-26T00:00:00Z,53.410000,53.510000,53.640000,53.120000,3206294,reg,False,CCL
35,2015-10-27T00:00:00Z,53.330000,53.840000,53.910000,53.230000,2089377,reg,False,CCL
36,2015-10-28T00:00:00Z,53.990000,53.290000,54.099000,52.730000,3514237,reg,False,CCL
37,2015-10-29T00:00:00Z,53.370000,54.080000,54.210100,53.140000,2304336,reg,False,CCL
