,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
0,2015-09-08T00:00:00Z,1.980000,1.820000,1.980000,1.810000,131392,reg,False,CRBP
1,2015-09-09T00:00:00Z,1.900000,1.841100,1.980000,1.830000,305045,reg,False,CRBP
2,2015-09-10T00:00:00Z,1.850000,1.850000,1.900000,1.800000,243514,reg,False,CRBP
3,2015-09-11T00:00:00Z,1.800000,1.990000,1.990000,1.790000,971839,reg,False,CRBP
4,2015-09-14T00:00:00Z,2.010000,2.130000,2.170000,1.950000,534289,reg,False,CRBP
5,2015-09-15T00:00:00Z,2.160000,2.090000,2.245000,2.010000,422392,reg,False,CRBP
6,2015-09-16T00:00:00Z,2.080000,2.065000,2.195000,2.060000,119785,reg,False,CRBP
7,2015-09-17T00:00:00Z,2.070000,2.075000,2.130000,2.060000,85675,reg,False,CRBP
8,2015-09-18T00:00:00Z,2.070000,2.240000,2.270000,2.070000,274759,reg,False,CRBP
9,2015-09-21T00:00:00Z,2.290000,2.240000,2.290000,2.100000,270491,reg,False,CRBP
10,2015-09-22T00:00:00Z,2.250000,2.180000,2.250000,2.110000,150684,reg,False,CRBP
11,2015-09-23T00:00:00Z,2.150000,2.090000,2.211000,2.050000,94220,reg,False,CRBP
12,2015-09-24T00:00:00Z,2.120000,1.990000,2.120000,1.940000,131157,reg,False,CRBP
13,2015-09-25T00:00:00Z,1.990000,1.980000,2.070000,1.880000,195347,reg,False,CRBP
14,2015-09-28T00:00:00Z,1.990000,1.790000,1.990000,1.700000,330591,reg,False,CRBP
15,2015-09-29T00:00:00Z,1.760000,1.572800,1.760000,1.540000,339602,reg,False,CRBP
16,2015-09-30T00:00:00Z,1.600000,1.570000,1.600000,1.448800,206454,reg,False,CRBP
17,2015-10-01T00:00:00Z,1.590000,1.650000,1.650000,1.500000,107665,reg,False,CRBP
18,2015-10-02T00:00:00Z,1.660000,1.630000,1.860000,1.630000,324990,reg,False,CRBP
19,2015-10-05T00:00:00Z,1.650000,1.760000,1.790000,1.650000,76489,reg,False,CRBP
20,2015-10-06T00:00:00Z,1.760000,1.750000,1.799900,1.710000,28663,reg,False,CRBP
21,2015-10-07T00:00:00Z,1.740000,1.800000,1.850000,1.730000,93068,reg,False,CRBP
22,2015-10-08T00:00:00Z,1.820000,1.880000,1.880000,1.770000,111224,reg,False,CRBP
23,2015-10-09T00:00:00Z,1.880000,1.880000,1.880000,1.820000,37629,reg,False,CRBP
24,2015-10-12T00:00:00Z,1.890000,1.760000,1.890000,1.740000,40141,reg,False,CRBP
25,2015-10-13T00:00:00Z,1.770000,1.730000,1.779100,1.720000,51108,reg,False,CRBP
26,2015-10-14T00:00:00Z,1.736600,1.740000,1.760000,1.650000,86889,reg,False,CRBP
27,2015-10-15T00:00:00Z,1.750000,1.820000,1.850000,1.670000,44265,reg,False,CRBP
28,2015-10-16T00:00:00Z,1.850000,1.760000,1.910000,1.760000,109751,reg,False,CRBP
29,2015-10-19T00:00:00Z,1.750000,1.760000,1.770000,1.690000,55164,reg,False,CRBP
30,2015-10-20T00:00:00Z,2.200000,1.900000,2.550000,1.860000,3947003,reg,False,CRBP
31,2015-10-21T00:00:00Z,1.860000,1.820000,1.950000,1.780000,299659,reg,False,CRBP
32,2015-10-22T00:00:00Z,1.810000,1.790000,1.849500,1.720100,181728,reg,False,CRBP
33,2015-10-23T00:00:00Z,1.770000,1.710000,1.819900,1.690000,120681,reg,False,CRBP
34,2015-10-26T00:00:00Z,1.720000,1.690000,1.770000,1.656600,114997,reg,False,CRBP
35,2015-10-27T00:00:00Z,1.690000,1.680000,1.770000,1.680000,112068,reg,False,CRBP
36,2015-10-28T00:00:00Z,1.720000,1.720000,1.780000,1.680000,125201,reg,False,CRBP
37,2015-10-29T00:00:00Z,1.720000,1.680000,1.740000,1.670000,114450,reg,False,CRBP
38,2015-10-30T00:00:00Z,1.690000,1.630000,1.690000,1.620000,75841,reg,False,CRBP
39,2015-11-02T00:00:00Z,1.710000,1.660000,1.727000,1.650000,79598,reg,False,CRBP
40,2015-11-03T00:00:00Z,1.690000,1.750000,1.810000,1.620000,152340,reg,False,CRBP
41,2015-11-04T00:00:00Z,1.780000,1.780000,1.790000,1.730000,29116,reg,False,CRBP
42,2015-11-05T00:00:00Z,1.770000,1.670000,1.770200,1.640000,47409,reg,False,CRBP
43,2015-11-06T00:00:00Z,1.650000,1.680000,1.710000,1.650000,35545,reg,False,CRBP
44,2015-11-09T00:00:00Z,1.700000,1.680000,1.780000,1.650000,62787,reg,False,CRBP
45,2015-11-10T00:00:00Z,1.660000,1.650000,1.670000,1.645000,37868,reg,False,CRBP
46,2015-11-11T00:00:00Z,1.660000,1.650000,1.700000,1.640000,62499,reg,False,CRBP
47,2015-11-12T00:00:00Z,1.650000,1.710000,1.780000,1.640000,190972,reg,False,CRBP
48,2015-11-13T00:00:00Z,1.730000,1.700000,1.737000,1.660000,49513,reg,False,CRBP
