,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
0,2015-09-08T00:00:00Z,102.950000,104.010000,104.150000,102.515000,8571506,reg,False,DIS
1,2015-09-09T00:00:00Z,104.750000,101.910000,104.950000,101.680000,9577524,reg,False,DIS
2,2015-09-10T00:00:00Z,101.850000,102.600000,103.220000,101.331000,9026074,reg,False,DIS
3,2015-09-11T00:00:00Z,102.300000,104.480000,104.500000,102.200000,9529778,reg,False,DIS
4,2015-09-14T00:00:00Z,104.650000,103.820000,104.900000,102.990000,6959805,reg,False,DIS
5,2015-09-15T00:00:00Z,103.250000,103.430000,103.800000,101.830000,9171441,reg,False,DIS
6,2015-09-16T00:00:00Z,103.300000,103.960000,104.070000,102.750000,6509738,reg,False,DIS
7,2015-09-17T00:00:00Z,104.250000,104.200000,105.950000,103.750000,7792632,reg,False,DIS
8,2015-09-18T00:00:00Z,103.200000,102.840000,104.210000,102.390000,13559400,reg,False,DIS
9,2015-09-21T00:00:00Z,103.660000,103.410000,103.830000,102.460000,7152324,reg,False,DIS
10,2015-09-22T00:00:00Z,102.180000,102.490000,102.750000,101.480000,8330068,reg,False,DIS
11,2015-09-23T00:00:00Z,102.440000,101.570000,102.630000,101.380000,5817994,reg,False,DIS
12,2015-09-24T00:00:00Z,101.000000,100.620000,101.330000,99.240000,10706825,reg,False,DIS
13,2015-09-25T00:00:00Z,101.520000,100.300000,101.800000,99.580000,7179845,reg,False,DIS
14,2015-09-28T00:00:00Z,99.900000,98.490000,100.390000,98.295000,8238329,reg,False,DIS
15,2015-09-29T00:00:00Z,98.510000,99.420000,100.060000,97.770000,9466944,reg,False,DIS
16,2015-09-30T00:00:00Z,100.800000,102.200000,102.430000,100.500000,9189977,reg,False,DIS
17,2015-10-01T00:00:00Z,102.990000,102.670000,103.470000,101.080000,7503711,reg,False,DIS
18,2015-10-02T00:00:00Z,101.230000,103.000000,103.010000,99.880000,9105646,reg,False,DIS
19,2015-10-05T00:00:00Z,103.670000,103.850000,104.196000,102.610100,7144600,reg,False,DIS
20,2015-10-06T00:00:00Z,104.190000,103.770000,104.510000,103.210000,5660629,reg,False,DIS
21,2015-10-07T00:00:00Z,104.490000,103.390000,104.590000,102.660000,7008280,reg,False,DIS
22,2015-10-08T00:00:00Z,103.060000,104.610000,104.890000,102.700000,7499092,reg,False,DIS
23,2015-10-09T00:00:00Z,105.090000,105.560000,106.050000,104.670000,7341822,reg,False,DIS
24,2015-10-12T00:00:00Z,105.910000,106.350000,106.700000,105.620000,5179044,reg,False,DIS
25,2015-10-13T00:00:00Z,105.740000,106.590000,107.390000,105.310000,8342685,reg,False,DIS
26,2015-10-14T00:00:00Z,106.590000,105.730000,106.850000,105.230000,5563643,reg,False,DIS
27,2015-10-15T00:00:00Z,106.500000,107.890000,108.000000,106.260000,6739184,reg,False,DIS
28,2015-10-16T00:00:00Z,108.270000,108.240000,108.500000,107.460000,5908875,reg,False,DIS
29,2015-10-19T00:00:00Z,108.250000,109.470000,109.970000,107.940000,8001900,reg,False,DIS
30,2015-10-20T00:00:00Z,109.550000,109.840000,110.530000,109.410000,9674422,reg,False,DIS
31,2015-10-21T00:00:00Z,110.670000,110.090000,111.560000,110.010000,8781423,reg,False,DIS
32,2015-10-22T00:00:00Z,110.670000,113.250000,113.350000,110.390000,10028949,reg,False,DIS
33,2015-10-23T00:00:00Z,114.080000,113.090000,114.210000,111.850000,7928447,reg,False,DIS
34,2015-10-26T00:00:00Z,113.070000,113.520000,113.580000,112.120000,5729552,reg,False,DIS
35,2015-10-27T00:00:00Z,113.300000,113.770000,114.268000,113.245000,5857562,reg,False,DIS
36,2015-10-28T00:00:00Z,113.680000,114.340000,114.460000,112.860000,6452873,reg,False,DIS
37,2015-10-29T00:00:00Z,114.300000,115.040000,115.400000,114.200000,6125112,reg,False,DIS
38,2015-10-30T00:00:00Z,115.040000,113.740000,115.239900,113.670000,8501634,reg,False,DIS
39,2015-11-02T00:00:00Z,114.400000,115.040000,115.310000,114.010000,6949528,reg,False,DIS
40,2015-11-03T00:00:00Z,115.030000,115.540000,116.400000,114.540000,7132081,reg,False,DIS
41,2015-11-04T00:00:00Z,116.700000,113.250000,116.830000,110.810000,20740831,reg,False,DIS
42,2015-11-05T00:00:00Z,113.250000,113.000000,113.930000,111.600100,14843729,reg,False,DIS
43,2015-11-06T00:00:00Z,114.630000,115.670000,116.750000,114.570000,16803396,reg,False,DIS
44,2015-11-09T00:00:00Z,115.900000,116.420000,116.730000,115.180000,9317475,reg,False,DIS
45,2015-11-10T00:00:00Z,116.220000,117.420000,117.510000,115.510000,8240533,reg,False,DIS
46,2015-11-11T00:00:00Z,117.550000,116.520000,117.580000,116.430000,6381663,reg,False,DIS
47,2015-11-12T00:00:00Z,115.830000,116.210000,116.990000,115.000000,7222996,reg,False,DIS
48,2015-11-13T00:00:00Z,115.910000,114.840000,116.420000,114.380000,8078066,reg,False,DIS
49,2015-11-16T00:00:00Z,113.490000,115.920000,116.080000,113.335000,5770158,reg,False,DIS
50,2015-11-17T00:00:00Z,116.200000,116.130000,117.550000,115.510000,6434432,reg,False,DIS
51,2015-11-18T00:00:00Z,116.200000,118.140000,118.280000,116.050000,6744634,reg,False,DIS
52,2015-11-19T00:00:00Z,118.180000,118.710000,119.159800,117.640000,6100998,reg,False,DIS
53,2015-11-20T00:00:00Z,119.110000,120.070000,120.250000,118.900000,10821723,reg,False,DIS
54,2015-11-23T00:00:00Z,120.300000,119.420000,120.650000,119.000000,6986409,reg,False,DIS
55,2015-11-24T00:00:00Z,117.900000,117.950000,118.570000,117.280000,9158183,reg,False,DIS
56,2015-11-25T00:00:00Z,118.160000,118.670000,119.338000,118.150000,4751518,reg,False,DIS
57,2015-11-27T00:00:00Z,116.000000,115.130000,116.500000,113.700000,14912040,reg,False,DIS
58,2015-11-30T00:00:00Z,115.560000,113.470000,115.580000,113.310000,16560317,reg,False,DIS
59,2015-12-01T00:00:00Z,114.150000,115.390000,115.460000,113.660000,8896142,reg,False,DIS
60,2015-12-02T00:00:00Z,115.390000,114.000000,115.470000,113.830000,7787769,reg,False,DIS
61,2015-12-03T00:00:00Z,114.100000,111.890000,114.651000,111.440000,10446637,reg,False,DIS
62,2015-12-04T00:00:00Z,112.740000,114.240000,114.305000,112.530000,8771297,reg,False,DIS
63,2015-12-07T00:00:00Z,114.560000,113.830000,114.560000,112.650000,6738532,reg,False,DIS
64,2015-12-08T00:00:00Z,113.310000,112.480000,113.450000,112.400000,7480562,reg,False,DIS
65,2015-12-09T00:00:00Z,112.390000,111.470000,113.061200,110.580000,9050676,reg,False,DIS
66,2015-12-10T00:00:00Z,111.150000,110.760000,111.580000,110.170000,7030152,reg,False,DIS
67,2015-12-11T00:00:00Z,109.910000,108.040000,109.950000,107.617700,12334945,reg,False,DIS
68,2015-12-14T00:00:00Z,108.785000,109.350000,109.870000,108.279200,9702553,reg,False,DIS
69,2015-12-15T00:00:00Z,112.050000,112.160000,113.345000,111.580100,13361688,reg,False,DIS
70,2015-12-16T00:00:00Z,114.690000,113.790000,114.750000,111.800000,12304503,reg,False,DIS
