,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
0,2015-09-08T00:00:00Z,34.540000,35.460000,35.890000,34.100000,6703972,reg,False,FIT
1,2015-09-09T00:00:00Z,36.690000,35.950000,37.390000,35.310000,4585203,reg,False,FIT
2,2015-09-10T00:00:00Z,35.450000,34.230000,35.990000,33.800000,3044557,reg,False,FIT
3,2015-09-11T00:00:00Z,33.800000,32.400000,34.000000,31.280000,4948328,reg,False,FIT
4,2015-09-14T00:00:00Z,33.200000,32.000000,33.200000,31.710000,2215052,reg,False,FIT
5,2015-09-15T00:00:00Z,33.250000,33.040000,33.990000,32.410000,5245868,reg,False,FIT
6,2015-09-16T00:00:00Z,34.640000,37.100000,38.450000,33.850000,10125430,reg,False,FIT
7,2015-09-17T00:00:00Z,36.460000,39.880000,40.899000,36.100000,18266671,reg,False,FIT
8,2015-09-18T00:00:00Z,39.250000,40.720000,42.040000,38.600000,13693417,reg,False,FIT
9,2015-09-21T00:00:00Z,41.750000,38.090000,41.920000,37.750000,8257816,reg,False,FIT
10,2015-09-22T00:00:00Z,36.990000,39.490000,39.890000,36.730000,5301122,reg,False,FIT
11,2015-09-23T00:00:00Z,39.930000,39.110000,40.366900,38.650300,3037057,reg,False,FIT
12,2015-09-24T00:00:00Z,38.300000,38.790000,38.950000,37.000000,2766422,reg,False,FIT
13,2015-09-25T00:00:00Z,39.700000,37.600000,40.240000,37.300000,3207403,reg,False,FIT
14,2015-09-28T00:00:00Z,36.840000,36.050000,37.159900,35.260100,2802135,reg,False,FIT
15,2015-09-29T00:00:00Z,36.090000,35.300000,36.270000,34.260000,2651310,reg,False,FIT
16,2015-09-30T00:00:00Z,35.580000,37.690000,37.690000,34.710000,5896142,reg,False,FIT
17,2015-10-01T00:00:00Z,37.240000,38.050000,38.530000,36.310000,2506485,reg,False,FIT
18,2015-10-02T00:00:00Z,37.150000,37.300000,38.399900,37.000000,2106891,reg,False,FIT
19,2015-10-05T00:00:00Z,37.840000,38.100000,38.970000,37.320000,3231608,reg,False,FIT
20,2015-10-06T00:00:00Z,38.010000,36.400000,38.100000,35.830000,2681769,reg,False,FIT
21,2015-10-07T00:00:00Z,36.636000,35.250000,36.880000,33.660000,3515005,reg,False,FIT
22,2015-10-08T00:00:00Z,34.750000,34.670000,35.770000,33.430000,2678746,reg,False,FIT
23,2015-10-09T00:00:00Z,35.000000,35.360000,36.100000,34.650100,1829072,reg,False,FIT
24,2015-10-12T00:00:00Z,36.020000,36.100000,36.480000,35.750000,1284335,reg,False,FIT
25,2015-10-13T00:00:00Z,36.350000,36.170000,37.879900,34.760000,3128369,reg,False,FIT
26,2015-10-14T00:00:00Z,36.280000,35.600000,36.312700,34.950000,1241041,reg,False,FIT
27,2015-10-15T00:00:00Z,35.500000,37.100000,37.110000,35.440100,1357260,reg,False,FIT
28,2015-10-16T00:00:00Z,37.220000,36.900000,37.600000,36.530100,1215651,reg,False,FIT
29,2015-10-19T00:00:00Z,36.750000,37.410000,38.980000,36.550100,2893760,reg,False,FIT
30,2015-10-20T00:00:00Z,39.250000,38.500000,41.110000,38.100000,6884526,reg,False,FIT
31,2015-10-21T00:00:00Z,39.170000,36.820000,39.500000,35.420000,3105397,reg,False,FIT
32,2015-10-22T00:00:00Z,37.600000,37.090000,38.060000,35.820000,2095113,reg,False,FIT
33,2015-10-23T00:00:00Z,37.820000,38.470000,38.600000,37.500000,2055723,reg,False,FIT
34,2015-10-26T00:00:00Z,38.110000,37.370000,38.780000,37.250000,1688417,reg,False,FIT
35,2015-10-27T00:00:00Z,37.260000,37.670000,37.900000,36.890000,1042002,reg,False,FIT
36,2015-10-28T00:00:00Z,38.300000,39.090000,39.410000,37.820000,2262733,reg,False,FIT
37,2015-10-29T00:00:00Z,38.610000,37.570000,38.700000,37.000000,3482789,reg,False,FIT
38,2015-10-30T00:00:00Z,38.200000,40.540000,40.780000,37.660000,5732215,reg,False,FIT
39,2015-11-02T00:00:00Z,41.570000,40.800000,41.970000,39.930000,12417113,reg,False,FIT
40,2015-11-03T00:00:00Z,38.000000,37.310000,39.130000,37.170000,14193384,reg,False,FIT
41,2015-11-04T00:00:00Z,37.980000,37.820000,38.440000,37.500000,4835376,reg,False,FIT
42,2015-11-05T00:00:00Z,37.550000,36.860000,37.740000,36.600000,3092059,reg,False,FIT
43,2015-11-06T00:00:00Z,36.860000,37.920000,37.950000,36.020100,4283889,reg,False,FIT
44,2015-11-09T00:00:00Z,37.800000,37.460000,38.150000,36.600000,2460168,reg,False,FIT
45,2015-11-10T00:00:00Z,37.100000,35.920000,38.140000,35.560000,4465097,reg,False,FIT
46,2015-11-11T00:00:00Z,36.040000,34.310000,36.340000,34.210000,2691819,reg,False,FIT
