,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
0,2015-09-08T00:00:00Z,37.820000,37.500000,38.090000,36.380000,11942642,reg,False,GPRO
1,2015-09-09T00:00:00Z,38.040000,33.650000,38.150000,33.340000,19289875,reg,False,GPRO
2,2015-09-10T00:00:00Z,33.860000,33.880000,34.930000,33.750000,13764947,reg,False,GPRO
3,2015-09-11T00:00:00Z,33.500000,32.420000,33.950000,31.322000,16583791,reg,False,GPRO
4,2015-09-14T00:00:00Z,32.900000,32.880000,34.580000,32.620000,17324849,reg,False,GPRO
5,2015-09-15T00:00:00Z,33.680000,33.570000,34.100000,32.740000,10278894,reg,False,GPRO
6,2015-09-16T00:00:00Z,33.950000,35.730000,35.820000,33.535000,14501348,reg,False,GPRO
7,2015-09-17T00:00:00Z,35.320000,36.320000,37.250000,35.230000,13632655,reg,False,GPRO
8,2015-09-18T00:00:00Z,35.730000,35.150000,35.890000,34.390000,13075231,reg,False,GPRO
9,2015-09-21T00:00:00Z,33.680000,32.270000,33.980000,32.000000,14611657,reg,False,GPRO
10,2015-09-22T00:00:00Z,31.380000,33.310000,33.750000,30.550000,14515387,reg,False,GPRO
11,2015-09-23T00:00:00Z,33.450000,32.640000,33.650000,32.220000,8442808,reg,False,GPRO
12,2015-09-24T00:00:00Z,32.520000,33.920000,34.020000,32.260100,7620515,reg,False,GPRO
13,2015-09-25T00:00:00Z,34.690000,32.310000,35.000000,32.140000,8291990,reg,False,GPRO
14,2015-09-28T00:00:00Z,32.000000,29.670000,32.150000,29.620000,9771950,reg,False,GPRO
15,2015-09-29T00:00:00Z,29.850000,29.860000,30.970000,28.900000,8871161,reg,False,GPRO
16,2015-09-30T00:00:00Z,30.300000,31.220000,31.500000,29.900000,6619236,reg,False,GPRO
17,2015-10-01T00:00:00Z,31.020000,30.070000,31.490000,29.750000,6885380,reg,False,GPRO
18,2015-10-02T00:00:00Z,29.400000,30.440000,30.600000,28.910000,10697118,reg,False,GPRO
19,2015-10-05T00:00:00Z,30.560000,30.260000,30.930000,29.480000,8285085,reg,False,GPRO
20,2015-10-06T00:00:00Z,30.450000,30.650000,31.950000,29.780000,8715038,reg,False,GPRO
21,2015-10-07T00:00:00Z,29.990000,29.330000,30.750000,27.520000,18629583,reg,False,GPRO
22,2015-10-08T00:00:00Z,28.960000,27.600000,29.010000,27.065000,18023213,reg,False,GPRO
23,2015-10-09T00:00:00Z,28.230000,29.080000,30.200000,27.950000,18093195,reg,False,GPRO
24,2015-10-12T00:00:00Z,29.100000,28.460000,29.300000,27.860200,7137535,reg,False,GPRO
25,2015-10-13T00:00:00Z,27.940000,27.970000,28.690000,27.900000,4659015,reg,False,GPRO
26,2015-10-14T00:00:00Z,27.290000,28.090000,28.455000,26.680000,8027395,reg,False,GPRO
27,2015-10-15T00:00:00Z,28.030000,28.540000,29.280000,28.010000,6737489,reg,False,GPRO
28,2015-10-16T00:00:00Z,28.270000,28.520000,28.780000,27.830000,5170934,reg,False,GPRO
29,2015-10-19T00:00:00Z,28.500000,29.640000,30.300000,28.076000,8393774,reg,False,GPRO
30,2015-10-20T00:00:00Z,30.140000,30.310000,31.330000,29.870000,9052495,reg,False,GPRO
31,2015-10-21T00:00:00Z,30.520000,29.060000,30.600000,28.830000,6174443,reg,False,GPRO
32,2015-10-22T00:00:00Z,29.250000,28.720000,30.080000,28.500000,5843518,reg,False,GPRO
33,2015-10-23T00:00:00Z,29.650000,29.150000,29.700000,28.810000,5692149,reg,False,GPRO
