,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
0,2015-09-08T00:00:00Z,7.200000,7.200000,7.300000,6.950000,15920,reg,False,IBIO
1,2015-09-09T00:00:00Z,7.500000,7.200000,7.900000,7.200000,41434,reg,False,IBIO
2,2015-09-10T00:00:00Z,7.200000,7.100000,7.380000,7.000000,11390,reg,False,IBIO
3,2015-09-11T00:00:00Z,7.100000,7.031000,7.100000,6.900000,23071,reg,False,IBIO
4,2015-09-14T00:00:00Z,6.900000,6.691000,6.940000,6.500000,37726,reg,False,IBIO
5,2015-09-15T00:00:00Z,6.600000,6.900000,6.900000,6.503000,18245,reg,False,IBIO
6,2015-09-16T00:00:00Z,6.900000,7.000000,7.198000,6.702000,26444,reg,False,IBIO
7,2015-09-17T00:00:00Z,7.100000,7.200000,7.799000,6.738000,98713,reg,False,IBIO
8,2015-09-18T00:00:00Z,7.050000,6.800000,7.120000,6.800000,21385,reg,False,IBIO
9,2015-09-21T00:00:00Z,7.100000,7.026000,7.299000,7.000000,31996,reg,False,IBIO
10,2015-09-22T00:00:00Z,7.000000,6.901000,7.200000,6.801000,12951,reg,False,IBIO
11,2015-09-23T00:00:00Z,6.950000,6.750000,6.950000,6.624000,18840,reg,False,IBIO
12,2015-09-24T00:00:00Z,6.700000,6.602000,6.900000,6.500000,21425,reg,False,IBIO
13,2015-09-25T00:00:00Z,6.620000,6.749000,7.088000,6.502000,22339,reg,False,IBIO
14,2015-09-28T00:00:00Z,6.600000,6.700000,6.900000,6.500000,15351,reg,False,IBIO
15,2015-09-29T00:00:00Z,6.700000,6.528000,6.800000,6.500000,16872,reg,False,IBIO
16,2015-09-30T00:00:00Z,6.600000,6.800000,6.850000,6.501000,11043,reg,False,IBIO
17,2015-10-01T00:00:00Z,6.700000,6.650000,6.701000,6.510000,8606,reg,False,IBIO
18,2015-10-02T00:00:00Z,6.525000,6.676000,6.700000,6.500000,5914,reg,False,IBIO
19,2015-10-05T00:00:00Z,6.800000,6.801000,6.998000,6.545000,11853,reg,False,IBIO
20,2015-10-06T00:00:00Z,6.600000,6.798000,6.800000,6.527000,7599,reg,False,IBIO
21,2015-10-07T00:00:00Z,6.700000,6.700000,6.950000,6.600000,10547,reg,False,IBIO
22,2015-10-08T00:00:00Z,6.710000,6.800000,6.800000,6.600000,9976,reg,False,IBIO
23,2015-10-09T00:00:00Z,6.720000,6.800000,6.800000,6.628000,12086,reg,False,IBIO
24,2015-10-12T00:00:00Z,6.800000,6.830000,6.850000,6.635000,5353,reg,False,IBIO
25,2015-10-13T00:00:00Z,6.830000,6.800000,6.900000,6.635000,9556,reg,False,IBIO
26,2015-10-14T00:00:00Z,6.890000,6.700000,6.900000,6.600000,13118,reg,False,IBIO
27,2015-10-15T00:00:00Z,6.700000,7.101000,7.500000,6.700000,68063,reg,False,IBIO
28,2015-10-16T00:00:00Z,7.100000,7.100000,7.395000,6.950000,22120,reg,False,IBIO
29,2015-10-19T00:00:00Z,6.940000,6.951000,7.100000,6.940000,3061,reg,False,IBIO
30,2015-10-20T00:00:00Z,6.807000,6.750000,7.200000,6.700000,11200,reg,False,IBIO
31,2015-10-21T00:00:00Z,6.920000,6.710000,7.000000,6.710000,9446,reg,False,IBIO
32,2015-10-22T00:00:00Z,6.801000,6.531000,6.900000,6.500000,7606,reg,False,IBIO
33,2015-10-23T00:00:00Z,6.520000,6.550000,6.700000,6.500000,10028,reg,False,IBIO
34,2015-10-26T00:00:00Z,6.600000,6.630000,6.798000,6.500000,11597,reg,False,IBIO
35,2015-10-27T00:00:00Z,6.560000,6.575000,6.820000,6.500000,16177,reg,False,IBIO
36,2015-10-28T00:00:00Z,6.550000,6.566000,6.790000,6.500000,17214,reg,False,IBIO
37,2015-10-29T00:00:00Z,6.550000,6.500000,6.750000,6.500000,13194,reg,False,IBIO
38,2015-10-30T00:00:00Z,6.701000,6.700000,6.705000,6.500000,13335,reg,False,IBIO
39,2015-11-02T00:00:00Z,6.600000,6.500000,6.689000,6.300000,20300,reg,False,IBIO
40,2015-11-03T00:00:00Z,6.590000,6.788000,6.800000,6.441000,18762,reg,False,IBIO
41,2015-11-04T00:00:00Z,6.800000,7.127000,7.300000,6.800000,39632,reg,False,IBIO
42,2015-11-05T00:00:00Z,7.025000,6.851000,7.220000,6.740000,6431,reg,False,IBIO
43,2015-11-06T00:00:00Z,6.851000,6.650000,7.048000,6.620000,9615,reg,False,IBIO
44,2015-11-09T00:00:00Z,6.790000,6.700000,6.800000,6.500000,7884,reg,False,IBIO
45,2015-11-10T00:00:00Z,6.500000,6.630000,6.710000,6.500000,8902,reg,False,IBIO
46,2015-11-11T00:00:00Z,6.550000,6.700000,6.799000,6.506000,14443,reg,False,IBIO
47,2015-11-12T00:00:00Z,6.700000,6.640000,6.700000,6.600000,17961,reg,False,IBIO
48,2015-11-13T00:00:00Z,6.799000,6.773000,6.799000,6.600000,16343,reg,False,IBIO
49,2015-11-16T00:00:00Z,6.700000,6.700000,6.796000,6.501000,9010,reg,False,IBIO
50,2015-11-17T00:00:00Z,6.600000,6.249000,6.600000,6.000000,22240,reg,False,IBIO
51,2015-11-18T00:00:00Z,6.249000,5.626000,6.290000,5.233000,39237,reg,False,IBIO
52,2015-11-19T00:00:00Z,5.800000,5.867000,6.099000,5.733000,21382,reg,False,IBIO
53,2015-11-20T00:00:00Z,5.800000,5.653000,6.400000,5.240000,47154,reg,False,IBIO
54,2015-11-23T00:00:00Z,5.800000,6.041000,6.097000,5.776000,19715,reg,False,IBIO
55,2015-11-24T00:00:00Z,6.100000,6.300000,6.300000,6.040000,23156,reg,False,IBIO
56,2015-11-25T00:00:00Z,6.301000,6.560000,6.600000,6.301000,30003,reg,False,IBIO
57,2015-11-27T00:00:00Z,6.500000,6.749000,6.750000,6.500000,5260,reg,False,IBIO
58,2015-11-30T00:00:00Z,6.700000,6.850000,6.850000,6.642000,36879,reg,False,IBIO
59,2015-12-01T00:00:00Z,6.880000,6.730000,6.880000,6.370000,16130,reg,False,IBIO
60,2015-12-02T00:00:00Z,6.600000,6.431000,6.700000,6.423000,49126,reg,False,IBIO
61,2015-12-03T00:00:00Z,6.400000,6.168000,6.590000,6.020000,17194,reg,False,IBIO
62,2015-12-04T00:00:00Z,6.300000,6.090000,6.540000,6.000000,15805,reg,False,IBIO
63,2015-12-07T00:00:00Z,6.100000,6.000000,6.389000,6.000000,11326,reg,False,IBIO
64,2015-12-08T00:00:00Z,5.990000,6.001000,6.190000,5.900000,18146,reg,False,IBIO
65,2015-12-09T00:00:00Z,6.180000,6.000000,6.180000,5.800000,7262,reg,False,IBIO
66,2015-12-10T00:00:00Z,5.850000,5.600000,6.092000,5.600000,60382,reg,False,IBIO
67,2015-12-11T00:00:00Z,5.800000,5.529000,5.988000,5.500000,25831,reg,False,IBIO
68,2015-12-14T00:00:00Z,5.549000,5.550000,5.849000,5.549000,10058,reg,False,IBIO
69,2015-12-15T00:00:00Z,5.510000,5.518000,5.810000,5.400000,13005,reg,False,IBIO
70,2015-12-16T00:00:00Z,5.697000,5.520000,5.700000,5.400000,16583,reg,False,IBIO
71,2015-12-17T00:00:00Z,5.420000,5.700000,5.950000,5.418000,12670,reg,False,IBIO
72,2015-12-18T00:00:00Z,5.800000,5.990000,5.990000,5.500000,9304,reg,False,IBIO
73,2015-12-21T00:00:00Z,6.000000,6.110000,6.477000,5.905000,33574,reg,False,IBIO
74,2015-12-22T00:00:00Z,6.100000,6.144000,6.399000,6.021000,21233,reg,False,IBIO
75,2015-12-23T00:00:00Z,6.200000,6.200000,6.300000,5.900000,12047,reg,False,IBIO
76,2015-12-24T00:00:00Z,6.299000,6.199000,6.299000,6.000000,5029,reg,False,IBIO
77,2015-12-28T00:00:00Z,6.020000,5.701000,6.195000,5.620000,28866,reg,False,IBIO
78,2015-12-29T00:00:00Z,5.650000,5.596000,6.000000,5.504000,28929,reg,False,IBIO
79,2015-12-30T00:00:00Z,5.500000,5.669000,5.898000,5.400000,25025,reg,False,IBIO
80,2015-12-31T00:00:00Z,5.679000,5.600000,5.799000,5.600000,10166,reg,False,IBIO
81,2016-01-04T00:00:00Z,5.500000,5.600000,5.800000,5.418000,11024,reg,False,IBIO
82,2016-01-05T00:00:00Z,5.700000,5.700000,5.800000,5.299000,16429,reg,False,IBIO
83,2016-01-06T00:00:00Z,5.500000,5.350000,5.744000,5.258000,9662,reg,False,IBIO
84,2016-01-07T00:00:00Z,5.200000,5.400000,5.450000,5.000000,14746,reg,False,IBIO
85,2016-01-08T00:00:00Z,5.420000,5.200000,5.425000,5.200000,8419,reg,False,IBIO
86,2016-01-11T00:00:00Z,5.300000,5.100000,5.350000,5.000000,17738,reg,False,IBIO
