,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
0,2015-09-08T00:00:00Z,7.200000,7.150000,7.277500,6.980000,998531,reg,False,INO
1,2015-09-09T00:00:00Z,7.240000,6.900000,7.350000,6.900000,1733732,reg,False,INO
2,2015-09-10T00:00:00Z,6.860000,7.110000,7.110000,6.860000,2031901,reg,False,INO
3,2015-09-11T00:00:00Z,7.070000,7.340000,7.340000,7.040000,1065879,reg,False,INO
4,2015-09-14T00:00:00Z,7.330000,7.350000,7.390000,7.180000,698805,reg,False,INO
5,2015-09-15T00:00:00Z,7.340000,7.470000,7.570000,7.290100,949203,reg,False,INO
6,2015-09-16T00:00:00Z,7.510000,7.470000,7.614800,7.370000,629023,reg,False,INO
7,2015-09-17T00:00:00Z,7.860000,7.640000,7.900000,7.500000,1790644,reg,False,INO
8,2015-09-18T00:00:00Z,7.500000,7.390000,7.600000,7.300100,1608510,reg,False,INO
9,2015-09-21T00:00:00Z,7.560000,7.290000,7.620000,7.140000,1734201,reg,False,INO
10,2015-09-22T00:00:00Z,7.110000,7.190000,7.280000,6.980000,1316163,reg,False,INO
11,2015-09-23T00:00:00Z,7.200000,7.080000,7.320000,7.030000,760674,reg,False,INO
12,2015-09-24T00:00:00Z,7.030000,7.170000,7.190000,6.900000,1093732,reg,False,INO
13,2015-09-25T00:00:00Z,7.230000,6.570000,7.250000,6.500000,2149180,reg,False,INO
14,2015-09-28T00:00:00Z,6.520000,6.120000,6.557000,5.950000,2287842,reg,False,INO
15,2015-09-29T00:00:00Z,6.100000,5.690000,6.200000,5.500000,2066559,reg,False,INO
16,2015-09-30T00:00:00Z,5.790000,5.780000,5.940000,5.470000,1931810,reg,False,INO
17,2015-10-01T00:00:00Z,5.820000,5.680000,5.829900,5.510000,1300379,reg,False,INO
18,2015-10-02T00:00:00Z,5.570000,5.910000,5.935000,5.321000,1506528,reg,False,INO
19,2015-10-05T00:00:00Z,5.950000,6.150000,6.240000,5.950000,1303236,reg,False,INO
20,2015-10-06T00:00:00Z,6.200000,5.820000,6.240000,5.630000,1648335,reg,False,INO
21,2015-10-07T00:00:00Z,5.890000,6.020000,6.190000,5.750000,1397886,reg,False,INO
22,2015-10-08T00:00:00Z,5.970000,5.960000,6.035000,5.760000,1148721,reg,False,INO
23,2015-10-09T00:00:00Z,6.000000,6.160000,6.190000,5.950000,880877,reg,False,INO
24,2015-10-12T00:00:00Z,6.140000,5.910000,6.200000,5.860000,1041965,reg,False,INO
25,2015-10-13T00:00:00Z,5.830000,5.650000,6.040000,5.640000,1170891,reg,False,INO
26,2015-10-14T00:00:00Z,5.650000,5.900000,6.060000,5.650000,1065313,reg,False,INO
27,2015-10-15T00:00:00Z,5.890000,6.290000,6.300000,5.810000,1398386,reg,False,INO
28,2015-10-16T00:00:00Z,6.280000,6.230000,6.393700,6.080000,1178875,reg,False,INO
29,2015-10-19T00:00:00Z,6.220000,6.260000,6.410000,6.060000,1057647,reg,False,INO
30,2015-10-20T00:00:00Z,6.230000,6.280000,6.360000,6.100000,1320635,reg,False,INO
31,2015-10-21T00:00:00Z,6.320000,6.240000,6.360100,6.030000,1196338,reg,False,INO
32,2015-10-22T00:00:00Z,6.230000,6.390000,6.450000,6.080000,1382076,reg,False,INO
33,2015-10-23T00:00:00Z,6.450000,6.610000,6.709900,6.410000,1726355,reg,False,INO
34,2015-10-26T00:00:00Z,6.600000,6.570000,6.700000,6.465000,790676,reg,False,INO
35,2015-10-27T00:00:00Z,6.520000,6.430000,6.550000,6.300000,1226888,reg,False,INO
36,2015-10-28T00:00:00Z,6.480000,6.670000,6.675000,6.320000,1364611,reg,False,INO
37,2015-10-29T00:00:00Z,6.590000,6.460000,6.780000,6.450000,998085,reg,False,INO
38,2015-10-30T00:00:00Z,6.470000,6.330000,6.549900,6.310000,705101,reg,False,INO
39,2015-11-02T00:00:00Z,6.350000,6.660000,6.680000,6.330000,1255203,reg,False,INO
40,2015-11-03T00:00:00Z,6.620000,6.600000,6.810000,6.560000,1237663,reg,False,INO
41,2015-11-04T00:00:00Z,6.610000,6.580000,6.700000,6.480000,949341,reg,False,INO
42,2015-11-05T00:00:00Z,6.850000,6.820000,6.915000,6.650000,1394226,reg,False,INO
43,2015-11-06T00:00:00Z,6.850000,6.730000,6.870000,6.560000,1604186,reg,False,INO
44,2015-11-09T00:00:00Z,6.760000,7.020000,7.060000,6.550000,1543919,reg,False,INO
45,2015-11-10T00:00:00Z,7.000000,6.940000,7.000000,6.655000,1432393,reg,False,INO
46,2015-11-11T00:00:00Z,6.940000,7.110000,7.250000,6.795000,1918923,reg,False,INO
