,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
0,2015-09-08T00:00:00Z,14.150000,14.980000,15.030000,14.120000,242649,reg,False,KODK
1,2015-09-09T00:00:00Z,14.980000,15.110000,15.430000,14.930000,362692,reg,False,KODK
2,2015-09-10T00:00:00Z,15.060000,15.250000,15.610000,14.910000,152480,reg,False,KODK
3,2015-09-11T00:00:00Z,15.100000,15.480000,15.600000,14.930000,209674,reg,False,KODK
4,2015-09-14T00:00:00Z,15.470000,14.990000,15.545000,14.890000,157832,reg,False,KODK
5,2015-09-15T00:00:00Z,15.070000,15.410000,15.500000,15.045000,164177,reg,False,KODK
6,2015-09-16T00:00:00Z,15.440000,15.450000,15.965000,15.330000,124203,reg,False,KODK
7,2015-09-17T00:00:00Z,15.440000,15.680000,15.920000,15.320000,92242,reg,False,KODK
8,2015-09-18T00:00:00Z,15.450000,15.580000,15.880000,15.410000,738376,reg,False,KODK
9,2015-09-21T00:00:00Z,15.680000,15.490000,15.980000,15.410000,117908,reg,False,KODK
10,2015-09-22T00:00:00Z,15.370000,15.450000,15.530000,15.230000,145382,reg,False,KODK
11,2015-09-23T00:00:00Z,15.480000,15.410000,15.590000,15.050000,218125,reg,False,KODK
12,2015-09-24T00:00:00Z,15.200000,15.460000,15.520000,15.140000,192275,reg,False,KODK
13,2015-09-25T00:00:00Z,15.570000,15.280000,15.750000,15.240000,162454,reg,False,KODK
14,2015-09-28T00:00:00Z,15.260000,15.520000,15.760000,15.210000,173821,reg,False,KODK
15,2015-09-29T00:00:00Z,15.560000,15.310000,15.900000,15.140000,218792,reg,False,KODK
16,2015-09-30T00:00:00Z,15.380000,15.620000,15.670000,15.150000,294143,reg,False,KODK
17,2015-10-01T00:00:00Z,15.640000,15.460000,15.700000,15.220000,129612,reg,False,KODK
18,2015-10-02T00:00:00Z,15.330000,15.300000,15.480000,14.850000,114853,reg,False,KODK
19,2015-10-05T00:00:00Z,15.410000,15.860000,16.110000,15.310000,94352,reg,False,KODK
20,2015-10-06T00:00:00Z,15.890000,15.930000,16.250000,15.890000,92428,reg,False,KODK
21,2015-10-07T00:00:00Z,16.020000,16.410000,16.460000,16.020000,95281,reg,False,KODK
22,2015-10-08T00:00:00Z,16.450000,16.450000,16.670000,16.330000,72168,reg,False,KODK
23,2015-10-09T00:00:00Z,16.510000,16.330000,16.880000,16.100000,93805,reg,False,KODK
24,2015-10-12T00:00:00Z,16.231000,16.200000,16.410000,15.970000,85207,reg,False,KODK
25,2015-10-13T00:00:00Z,16.020000,16.260000,16.600000,16.020000,57223,reg,False,KODK
26,2015-10-14T00:00:00Z,16.240000,15.930000,16.500000,15.805000,66367,reg,False,KODK
27,2015-10-15T00:00:00Z,15.920000,16.420000,16.530000,15.755000,99924,reg,False,KODK
28,2015-10-16T00:00:00Z,16.510000,16.500000,16.590000,16.140000,78010,reg,False,KODK
29,2015-10-19T00:00:00Z,16.350000,16.750000,17.200000,16.320000,111834,reg,False,KODK
30,2015-10-20T00:00:00Z,16.720000,17.000000,17.100000,16.660000,127601,reg,False,KODK
31,2015-10-21T00:00:00Z,17.020000,16.390000,17.020000,16.340000,103196,reg,False,KODK
32,2015-10-22T00:00:00Z,16.510000,16.870000,17.310000,16.510000,110606,reg,False,KODK
33,2015-10-23T00:00:00Z,16.980000,15.000000,17.000000,14.990000,861942,reg,False,KODK
34,2015-10-26T00:00:00Z,15.000000,12.000000,15.000000,11.820000,982599,reg,False,KODK
35,2015-10-27T00:00:00Z,11.970000,10.850000,12.030000,10.810000,326430,reg,False,KODK
36,2015-10-28T00:00:00Z,10.930000,11.400000,11.470000,10.750000,598912,reg,False,KODK
37,2015-10-29T00:00:00Z,11.430000,12.260000,12.480000,11.390000,372604,reg,False,KODK
38,2015-10-30T00:00:00Z,12.230000,12.520000,12.520000,11.900000,330843,reg,False,KODK
39,2015-11-02T00:00:00Z,12.490000,12.530000,12.610000,11.860000,201597,reg,False,KODK
40,2015-11-03T00:00:00Z,12.400000,12.770000,13.030000,12.350000,315054,reg,False,KODK
41,2015-11-04T00:00:00Z,13.310000,13.800000,14.590000,13.210000,442149,reg,False,KODK
42,2015-11-05T00:00:00Z,13.840000,13.990000,14.110000,13.600000,269373,reg,False,KODK
43,2015-11-06T00:00:00Z,13.990000,14.180000,14.530000,13.540000,165597,reg,False,KODK
44,2015-11-09T00:00:00Z,14.130000,13.740000,14.220000,13.680000,140544,reg,False,KODK
45,2015-11-10T00:00:00Z,13.840000,13.400000,13.840000,13.170000,120253,reg,False,KODK
46,2015-11-11T00:00:00Z,13.530000,13.740000,13.750000,13.390000,137537,reg,False,KODK
47,2015-11-12T00:00:00Z,13.690000,13.410000,13.730000,13.320000,70169,reg,False,KODK
48,2015-11-13T00:00:00Z,13.290000,13.100000,13.460000,12.840000,104697,reg,False,KODK
49,2015-11-16T00:00:00Z,13.060000,12.970000,13.280000,12.900000,97888,reg,False,KODK
50,2015-11-17T00:00:00Z,12.980000,12.590000,12.980000,12.330000,138534,reg,False,KODK
51,2015-11-18T00:00:00Z,12.680000,12.810000,12.990000,12.620000,53432,reg,False,KODK
52,2015-11-19T00:00:00Z,12.740000,12.640000,12.820000,12.532000,90863,reg,False,KODK
53,2015-11-20T00:00:00Z,12.750000,12.780000,12.970000,12.470000,185768,reg,False,KODK
54,2015-11-23T00:00:00Z,12.730000,12.950000,13.250000,12.710000,184830,reg,False,KODK
55,2015-11-24T00:00:00Z,12.850000,12.910000,13.050000,12.850000,50940,reg,False,KODK
56,2015-11-25T00:00:00Z,12.840000,13.040000,13.070000,12.700000,52561,reg,False,KODK
57,2015-11-27T00:00:00Z,12.980000,13.070000,13.130000,12.930000,20977,reg,False,KODK
58,2015-11-30T00:00:00Z,13.100000,13.040000,13.100000,12.930000,141449,reg,False,KODK
59,2015-12-01T00:00:00Z,13.050000,13.380000,13.410000,12.980000,99637,reg,False,KODK
60,2015-12-02T00:00:00Z,13.590000,13.410000,13.740000,13.230000,89644,reg,False,KODK
61,2015-12-03T00:00:00Z,13.450000,13.350000,13.680000,13.330000,116522,reg,False,KODK
62,2015-12-04T00:00:00Z,13.410000,13.660000,13.930000,13.170000,134348,reg,False,KODK
63,2015-12-07T00:00:00Z,13.620000,12.360000,13.700000,12.280000,209128,reg,False,KODK
64,2015-12-08T00:00:00Z,12.310000,12.790000,13.070000,12.190000,193733,reg,False,KODK
65,2015-12-09T00:00:00Z,12.820000,13.230000,13.500000,12.820000,78763,reg,False,KODK
66,2015-12-10T00:00:00Z,13.220000,13.350000,13.500000,13.220000,83915,reg,False,KODK
67,2015-12-11T00:00:00Z,13.150000,12.900000,13.270000,12.750000,81365,reg,False,KODK
68,2015-12-14T00:00:00Z,12.850000,12.610000,12.850000,12.270000,177368,reg,False,KODK
