,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
0,2015-09-08T00:00:00Z,6.600000,6.680000,6.810000,6.545000,1121407,reg,False,KOS
1,2015-09-09T00:00:00Z,6.690000,6.520000,6.840000,6.480000,1847293,reg,False,KOS
2,2015-09-10T00:00:00Z,6.530000,6.610000,6.700000,6.420000,887398,reg,False,KOS
3,2015-09-11T00:00:00Z,6.500000,6.440000,6.560000,6.370000,905783,reg,False,KOS
4,2015-09-14T00:00:00Z,6.390000,6.410000,6.490000,6.340000,1024021,reg,False,KOS
5,2015-09-15T00:00:00Z,6.420000,6.500000,6.565000,6.410000,782618,reg,False,KOS
6,2015-09-16T00:00:00Z,6.540000,6.950000,6.950000,6.540000,1210882,reg,False,KOS
7,2015-09-17T00:00:00Z,6.930000,7.050000,7.190000,6.880000,1712985,reg,False,KOS
8,2015-09-18T00:00:00Z,6.930000,6.770000,6.940000,6.660000,2950395,reg,False,KOS
9,2015-09-21T00:00:00Z,6.820000,6.640000,6.820000,6.620000,932944,reg,False,KOS
10,2015-09-22T00:00:00Z,6.530000,6.400000,6.635000,6.320000,1544462,reg,False,KOS
11,2015-09-23T00:00:00Z,6.440000,6.000000,6.440000,5.980000,1319144,reg,False,KOS
12,2015-09-24T00:00:00Z,6.000000,5.830000,6.000000,5.700000,1338356,reg,False,KOS
13,2015-09-25T00:00:00Z,5.860000,5.510000,5.900000,5.460000,1215451,reg,False,KOS
14,2015-09-28T00:00:00Z,5.460000,5.390000,5.520000,5.340000,2811069,reg,False,KOS
15,2015-09-29T00:00:00Z,5.420000,5.430000,5.520000,5.350000,1944620,reg,False,KOS
16,2015-09-30T00:00:00Z,5.600000,5.580000,5.610000,5.415000,1898993,reg,False,KOS
17,2015-10-01T00:00:00Z,5.710000,5.670000,5.860000,5.600000,2162531,reg,False,KOS
18,2015-10-02T00:00:00Z,5.650000,5.970000,5.970000,5.570000,1388356,reg,False,KOS
19,2015-10-05T00:00:00Z,6.060000,6.170000,6.200000,5.990000,1302825,reg,False,KOS
20,2015-10-06T00:00:00Z,6.270000,6.870000,6.910000,6.180000,1983859,reg,False,KOS
21,2015-10-07T00:00:00Z,7.050000,7.330000,7.375000,6.960000,2766360,reg,False,KOS
22,2015-10-08T00:00:00Z,7.330000,7.560000,7.700000,7.290000,2440037,reg,False,KOS
23,2015-10-09T00:00:00Z,7.600000,7.350000,7.690000,7.290000,3038584,reg,False,KOS
24,2015-10-12T00:00:00Z,7.360000,7.060000,7.360000,6.890000,1405399,reg,False,KOS
25,2015-10-13T00:00:00Z,7.020000,6.990000,7.230000,6.940000,1244624,reg,False,KOS
26,2015-10-14T00:00:00Z,6.970000,7.110000,7.130000,6.910000,1122056,reg,False,KOS
27,2015-10-15T00:00:00Z,7.030000,7.270000,7.300000,6.920000,923551,reg,False,KOS
28,2015-10-16T00:00:00Z,7.310000,7.500000,7.540000,7.250000,1920289,reg,False,KOS
29,2015-10-19T00:00:00Z,7.350000,7.120000,7.400000,7.020000,1240983,reg,False,KOS
30,2015-10-20T00:00:00Z,7.080000,7.110000,7.340000,7.050000,1139967,reg,False,KOS
31,2015-10-21T00:00:00Z,7.070000,6.940000,7.160000,6.920000,1071127,reg,False,KOS
32,2015-10-22T00:00:00Z,6.990000,6.910000,7.090000,6.805000,978258,reg,False,KOS
33,2015-10-23T00:00:00Z,6.860000,6.960000,7.070000,6.775000,923135,reg,False,KOS
34,2015-10-26T00:00:00Z,6.930000,6.780000,7.020000,6.745000,928733,reg,False,KOS
35,2015-10-27T00:00:00Z,6.660000,6.410000,6.690000,6.360000,1192289,reg,False,KOS
36,2015-10-28T00:00:00Z,6.460000,6.600000,6.750000,6.380000,1424299,reg,False,KOS
37,2015-10-29T00:00:00Z,6.560000,6.750000,6.870000,6.550000,1135342,reg,False,KOS
38,2015-10-30T00:00:00Z,6.790000,6.820000,6.960000,6.560000,1274008,reg,False,KOS
39,2015-11-02T00:00:00Z,6.690000,7.570000,7.720000,6.600000,2727399,reg,False,KOS
40,2015-11-03T00:00:00Z,7.630000,7.810000,8.000000,7.580000,2448700,reg,False,KOS
41,2015-11-04T00:00:00Z,7.810000,7.680000,7.880000,7.470000,1922366,reg,False,KOS
42,2015-11-05T00:00:00Z,7.630000,7.770000,7.920000,7.580000,1189652,reg,False,KOS
43,2015-11-06T00:00:00Z,7.650000,7.660000,7.800000,7.580000,1105353,reg,False,KOS
44,2015-11-09T00:00:00Z,7.690000,7.620000,7.825000,7.530000,1410015,reg,False,KOS
45,2015-11-10T00:00:00Z,7.560000,7.680000,7.755000,7.520000,609278,reg,False,KOS
46,2015-11-11T00:00:00Z,7.660000,7.310000,7.760000,7.295000,910567,reg,False,KOS
47,2015-11-12T00:00:00Z,7.160000,7.130000,7.490000,7.040000,2107100,reg,False,KOS
48,2015-11-13T00:00:00Z,7.110000,7.320000,7.360000,7.010000,1429701,reg,False,KOS
49,2015-11-16T00:00:00Z,7.180000,7.460000,7.540000,6.980000,1550661,reg,False,KOS
50,2015-11-17T00:00:00Z,7.420000,7.220000,7.430000,7.190000,837445,reg,False,KOS
51,2015-11-18T00:00:00Z,7.280000,7.410000,7.430000,7.070000,1194577,reg,False,KOS
52,2015-11-19T00:00:00Z,7.340000,7.110000,7.340000,6.940000,1526542,reg,False,KOS
53,2015-11-20T00:00:00Z,7.100000,6.990000,7.130000,6.870000,1603768,reg,False,KOS
54,2015-11-23T00:00:00Z,6.940000,7.170000,7.230000,6.860000,1014314,reg,False,KOS
55,2015-11-24T00:00:00Z,7.240000,7.440000,7.575000,7.170000,1404072,reg,False,KOS
56,2015-11-25T00:00:00Z,7.360000,7.240000,7.400000,7.170000,1246862,reg,False,KOS
57,2015-11-27T00:00:00Z,7.170000,7.010000,7.220000,6.930000,588732,reg,False,KOS
58,2015-11-30T00:00:00Z,7.050000,6.710000,7.140000,6.690000,2583076,reg,False,KOS
59,2015-12-01T00:00:00Z,6.720000,7.070000,7.090000,6.670000,1338550,reg,False,KOS
60,2015-12-02T00:00:00Z,7.080000,7.010000,7.150000,6.910000,2102001,reg,False,KOS
61,2015-12-03T00:00:00Z,7.090000,7.000000,7.170000,6.910000,1926152,reg,False,KOS
62,2015-12-04T00:00:00Z,6.900000,6.870000,6.940000,6.700000,3344499,reg,False,KOS
63,2015-12-07T00:00:00Z,6.710000,5.990000,6.710000,5.920000,1657011,reg,False,KOS
64,2015-12-08T00:00:00Z,5.810000,6.070000,6.160000,5.750000,1189090,reg,False,KOS
65,2015-12-09T00:00:00Z,6.130000,6.080000,6.400000,6.010000,3204114,reg,False,KOS
66,2015-12-10T00:00:00Z,6.020000,6.170000,6.200000,5.960000,1927998,reg,False,KOS
67,2015-12-11T00:00:00Z,5.950000,5.860000,6.050000,5.820000,1378330,reg,False,KOS
68,2015-12-14T00:00:00Z,5.810000,5.600000,5.880000,5.560000,1728191,reg,False,KOS
69,2015-12-15T00:00:00Z,5.620000,5.490000,5.730000,5.460000,2912421,reg,False,KOS
70,2015-12-16T00:00:00Z,5.480000,5.400000,5.530000,5.240000,2925154,reg,False,KOS
71,2015-12-17T00:00:00Z,5.380000,5.130000,5.400000,4.870000,4389061,reg,False,KOS
72,2015-12-18T00:00:00Z,5.180000,5.010000,5.200000,4.870000,6361061,reg,False,KOS
73,2015-12-21T00:00:00Z,4.970000,4.730000,5.020000,4.620000,3266474,reg,False,KOS
74,2015-12-22T00:00:00Z,4.720000,5.090000,5.140000,4.700000,2941257,reg,False,KOS
75,2015-12-23T00:00:00Z,5.210000,5.420000,5.440000,5.140000,1834071,reg,False,KOS
76,2015-12-24T00:00:00Z,5.450000,5.290000,5.470000,5.270000,615732,reg,False,KOS
77,2015-12-28T00:00:00Z,5.150000,5.270000,5.360000,5.055000,1737119,reg,False,KOS
78,2015-12-29T00:00:00Z,5.390000,5.200000,5.410000,5.100000,1348531,reg,False,KOS
79,2015-12-30T00:00:00Z,5.120000,5.090000,5.250000,5.050000,1010958,reg,False,KOS
80,2015-12-31T00:00:00Z,5.080000,5.200000,5.200000,5.040000,785991,reg,False,KOS
81,2016-01-04T00:00:00Z,5.230000,5.340000,5.380000,5.110100,1765516,reg,False,KOS
82,2016-01-05T00:00:00Z,5.300000,5.080000,5.360000,5.040000,1030071,reg,False,KOS
83,2016-01-06T00:00:00Z,4.950000,4.700000,5.005000,4.690000,4296279,reg,False,KOS
84,2016-01-07T00:00:00Z,4.600000,4.410000,4.780000,4.400000,2341710,reg,False,KOS
85,2016-01-08T00:00:00Z,4.450000,4.380000,4.520000,4.300000,1612636,reg,False,KOS
86,2016-01-11T00:00:00Z,4.380000,4.320000,4.430000,4.230000,1796962,reg,False,KOS
87,2016-01-12T00:00:00Z,4.430000,4.170000,4.530000,4.000000,2815055,reg,False,KOS
88,2016-01-13T00:00:00Z,4.250000,4.190000,4.385000,4.075000,1541181,reg,False,KOS
89,2016-01-14T00:00:00Z,4.220000,4.240000,4.330000,4.040000,2026399,reg,False,KOS
90,2016-01-15T00:00:00Z,4.040000,3.790000,4.130000,3.765000,1961559,reg,False,KOS
91,2016-01-19T00:00:00Z,3.840000,3.560000,3.845000,3.415000,3655261,reg,False,KOS
92,2016-01-20T00:00:00Z,3.410000,3.500000,3.570000,3.170000,3961365,reg,False,KOS
93,2016-01-21T00:00:00Z,3.400000,3.690000,3.700000,3.390000,1972588,reg,False,KOS
94,2016-01-22T00:00:00Z,4.110000,3.720000,4.110000,3.690000,1397149,reg,False,KOS
95,2016-01-25T00:00:00Z,3.350000,3.650000,3.760000,3.350000,2091247,reg,False,KOS
96,2016-01-26T00:00:00Z,3.710000,3.830000,3.930000,3.611100,1482272,reg,False,KOS
97,2016-01-27T00:00:00Z,3.770000,3.850000,4.030000,3.710000,1029196,reg,False,KOS
98,2016-01-28T00:00:00Z,4.070000,4.150000,4.290000,4.030000,1583412,reg,False,KOS
99,2016-01-29T00:00:00Z,4.190000,4.570000,4.580000,4.150000,2483818,reg,False,KOS
100,2016-02-01T00:00:00Z,4.460000,4.470000,4.545000,4.310000,2099253,reg,False,KOS
101,2016-02-02T00:00:00Z,4.320000,4.190000,4.335000,4.170000,1689803,reg,False,KOS
102,2016-02-03T00:00:00Z,4.300000,4.360000,4.400000,4.060000,1175290,reg,False,KOS
103,2016-02-04T00:00:00Z,4.360000,4.440000,4.640000,4.360000,1429067,reg,False,KOS
104,2016-02-05T00:00:00Z,4.380000,4.380000,4.445000,4.160000,1649198,reg,False,KOS
105,2016-02-08T00:00:00Z,4.190000,4.100000,4.225000,3.995000,1381728,reg,False,KOS
106,2016-02-09T00:00:00Z,3.960000,3.970000,4.035000,3.790000,1324429,reg,False,KOS
107,2016-02-10T00:00:00Z,3.940000,4.040000,4.140000,3.930000,2027510,reg,False,KOS
108,2016-02-11T00:00:00Z,3.940000,4.010000,4.090000,3.825000,3638234,reg,False,KOS
109,2016-02-12T00:00:00Z,4.090000,3.990000,4.120000,3.920000,2469635,reg,False,KOS
110,2016-02-16T00:00:00Z,4.090000,3.940000,4.090000,3.900000,987053,reg,False,KOS
111,2016-02-17T00:00:00Z,3.990000,4.250000,4.290100,3.910000,2186431,reg,False,KOS
112,2016-02-18T00:00:00Z,4.310000,4.040000,4.310000,4.030000,1269780,reg,False,KOS
113,2016-02-19T00:00:00Z,3.960000,3.890000,3.970000,3.780000,904906,reg,False,KOS
114,2016-02-22T00:00:00Z,4.110000,4.500000,4.740000,3.930000,2416500,reg,False,KOS
115,2016-02-23T00:00:00Z,4.640000,4.400000,4.660000,4.341100,1398052,reg,False,KOS
116,2016-02-24T00:00:00Z,4.250100,4.460000,4.540000,4.160000,935083,reg,False,KOS
117,2016-02-25T00:00:00Z,4.420000,4.450000,4.580000,4.250000,1582209,reg,False,KOS
118,2016-02-26T00:00:00Z,4.600000,4.560000,4.720000,4.520000,696134,reg,False,KOS
119,2016-02-29T00:00:00Z,4.610000,4.880000,4.900000,4.550000,1436860,reg,False,KOS
120,2016-03-01T00:00:00Z,4.910000,4.920000,4.970000,4.520000,1662891,reg,False,KOS
121,2016-03-02T00:00:00Z,4.900000,5.090000,5.100000,4.780000,933126,reg,False,KOS
122,2016-03-03T00:00:00Z,5.070000,5.420000,5.450000,5.010000,1122750,reg,False,KOS
123,2016-03-04T00:00:00Z,5.480000,5.440000,5.630000,5.350000,2689565,reg,False,KOS
124,2016-03-07T00:00:00Z,5.510000,5.610000,5.620000,5.315000,3182877,reg,False,KOS
125,2016-03-08T00:00:00Z,5.510000,5.450000,5.530000,5.180000,3052189,reg,False,KOS
126,2016-03-09T00:00:00Z,5.620000,5.550000,5.710000,5.435000,3466545,reg,False,KOS
127,2016-03-10T00:00:00Z,5.460000,5.460000,5.460000,5.150000,1678734,reg,False,KOS
128,2016-03-11T00:00:00Z,5.520000,5.700000,5.730000,5.510000,1264658,reg,False,KOS
129,2016-03-14T00:00:00Z,5.530000,5.610000,5.640000,5.420000,1325483,reg,False,KOS
130,2016-03-15T00:00:00Z,5.490000,5.680000,5.700000,5.330000,1251396,reg,False,KOS
131,2016-03-16T00:00:00Z,5.840000,6.030000,6.150000,5.795000,1905790,reg,False,KOS
132,2016-03-17T00:00:00Z,6.110000,6.040000,6.240000,6.020000,1788453,reg,False,KOS
133,2016-03-18T00:00:00Z,6.155000,6.040000,6.405000,5.910000,2029560,reg,False,KOS
134,2016-03-21T00:00:00Z,6.000000,6.120000,6.160000,5.930000,777557,reg,False,KOS
135,2016-03-22T00:00:00Z,6.030000,6.050000,6.160000,5.920000,787024,reg,False,KOS
136,2016-03-23T00:00:00Z,6.020000,5.600000,6.080000,5.570000,2182062,reg,False,KOS
137,2016-03-24T00:00:00Z,5.490000,5.710000,5.740000,5.365000,2409415,reg,False,KOS
138,2016-03-28T00:00:00Z,5.760000,5.600000,5.770000,5.460000,2436092,reg,False,KOS
139,2016-03-29T00:00:00Z,5.490000,5.560000,5.695000,5.440000,1814787,reg,False,KOS
140,2016-03-30T00:00:00Z,5.650000,5.640000,5.900000,5.560000,1811530,reg,False,KOS
141,2016-03-31T00:00:00Z,5.630000,5.820000,5.860000,5.630000,2362088,reg,False,KOS
142,2016-04-01T00:00:00Z,5.620000,5.610000,5.700000,5.550000,955178,reg,False,KOS
143,2016-04-04T00:00:00Z,5.640000,5.630000,5.790000,5.550000,1231332,reg,False,KOS
144,2016-04-05T00:00:00Z,5.550000,5.640000,5.750000,5.540000,1801439,reg,False,KOS
