,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
0,2015-09-08T00:00:00Z,102.080000,94.950000,102.500000,93.550000,43479650,reg,False,NFLX
1,2015-09-09T00:00:00Z,96.510000,99.180000,102.790000,95.520000,35524441,reg,False,NFLX
2,2015-09-10T00:00:00Z,99.420000,99.480000,100.850000,96.780000,21031866,reg,False,NFLX
3,2015-09-11T00:00:00Z,98.570000,97.510000,100.850000,97.230000,17373920,reg,False,NFLX
4,2015-09-14T00:00:00Z,96.840000,95.690000,97.910000,94.330000,15545991,reg,False,NFLX
5,2015-09-15T00:00:00Z,95.220000,99.160000,99.650000,93.610000,22591084,reg,False,NFLX
6,2015-09-16T00:00:00Z,99.700000,104.080000,104.480000,99.330000,28058216,reg,False,NFLX
7,2015-09-17T00:00:00Z,103.670000,104.210000,107.500000,101.830000,25817651,reg,False,NFLX
8,2015-09-18T00:00:00Z,102.000000,102.620000,104.360000,100.710000,21715034,reg,False,NFLX
9,2015-09-21T00:00:00Z,103.300000,100.300000,103.770000,99.556800,17900624,reg,False,NFLX
10,2015-09-22T00:00:00Z,98.290000,98.470000,99.900000,97.000000,16717919,reg,False,NFLX
11,2015-09-23T00:00:00Z,98.600000,98.070000,99.740000,97.660000,10264540,reg,False,NFLX
12,2015-09-24T00:00:00Z,97.110000,103.760000,104.000000,96.780000,21274471,reg,False,NFLX
13,2015-09-25T00:00:00Z,105.300000,102.240000,105.448700,101.570000,19066632,reg,False,NFLX
14,2015-09-28T00:00:00Z,101.570000,99.470000,103.327500,97.841400,17026639,reg,False,NFLX
15,2015-09-29T00:00:00Z,99.630000,98.350000,100.630000,96.850000,17405941,reg,False,NFLX
16,2015-09-30T00:00:00Z,99.910000,103.260000,103.460000,99.050000,17027579,reg,False,NFLX
17,2015-10-01T00:00:00Z,102.910000,105.980000,106.110000,101.120000,17426948,reg,False,NFLX
18,2015-10-02T00:00:00Z,103.010000,106.110000,106.870000,101.450000,21526717,reg,False,NFLX
19,2015-10-05T00:00:00Z,107.480000,111.250000,112.280000,105.760000,21157937,reg,False,NFLX
20,2015-10-06T00:00:00Z,110.330000,108.330000,112.250000,105.640000,20836303,reg,False,NFLX
21,2015-10-07T00:00:00Z,108.840000,108.100000,109.780000,106.750000,12329535,reg,False,NFLX
22,2015-10-08T00:00:00Z,107.940000,114.930000,115.050000,102.600000,42831944,reg,False,NFLX
23,2015-10-09T00:00:00Z,114.110000,113.330000,115.830000,112.440000,22455205,reg,False,NFLX
24,2015-10-12T00:00:00Z,114.450000,113.450000,115.420000,112.360000,12624497,reg,False,NFLX
25,2015-10-13T00:00:00Z,112.850000,109.730000,113.720000,108.780000,17512118,reg,False,NFLX
26,2015-10-14T00:00:00Z,111.500000,110.230000,111.630000,108.050000,33231481,reg,False,NFLX
27,2015-10-15T00:00:00Z,103.770000,101.090000,104.880000,99.100000,48484328,reg,False,NFLX
28,2015-10-16T00:00:00Z,100.210000,98.990000,101.650000,98.410000,21340511,reg,False,NFLX
29,2015-10-19T00:00:00Z,98.070000,101.690000,103.620000,96.260000,29964714,reg,False,NFLX
30,2015-10-20T00:00:00Z,101.060000,98.990000,102.110000,97.580000,17345614,reg,False,NFLX
31,2015-10-21T00:00:00Z,99.670000,97.960000,100.340000,97.010000,13759583,reg,False,NFLX
32,2015-10-22T00:00:00Z,98.070000,97.320000,99.930000,96.860000,12786768,reg,False,NFLX
33,2015-10-23T00:00:00Z,97.610000,100.040000,101.560000,97.270000,18019886,reg,False,NFLX
34,2015-10-26T00:00:00Z,100.050000,103.040000,103.310000,99.380000,12234824,reg,False,NFLX
35,2015-10-27T00:00:00Z,102.580000,103.070000,104.720000,101.230000,12066402,reg,False,NFLX
36,2015-10-28T00:00:00Z,102.900000,105.800000,106.210000,102.060000,13093962,reg,False,NFLX
37,2015-10-29T00:00:00Z,105.000000,105.120000,106.910000,104.750000,9841406,reg,False,NFLX
38,2015-10-30T00:00:00Z,105.120000,108.380000,110.100000,104.900000,15571468,reg,False,NFLX
39,2015-11-02T00:00:00Z,109.200000,107.640000,109.370000,106.300000,11784573,reg,False,NFLX
40,2015-11-03T00:00:00Z,107.360000,109.740000,111.050000,107.240000,12484136,reg,False,NFLX
41,2015-11-04T00:00:00Z,110.360000,114.050000,114.280000,109.390000,17505023,reg,False,NFLX
42,2015-11-05T00:00:00Z,113.750000,113.500000,115.680000,111.720000,13814939,reg,False,NFLX
43,2015-11-06T00:00:00Z,113.390000,114.060000,114.800000,112.050000,10936608,reg,False,NFLX
44,2015-11-09T00:00:00Z,113.360000,109.860000,114.000000,108.640000,16154632,reg,False,NFLX
45,2015-11-10T00:00:00Z,108.860000,112.700000,112.840000,108.010000,11166372,reg,False,NFLX
46,2015-11-11T00:00:00Z,113.080000,112.860000,114.610000,111.410000,11039154,reg,False,NFLX
47,2015-11-12T00:00:00Z,112.520000,108.920000,115.250000,108.200000,17568163,reg,False,NFLX
48,2015-11-13T00:00:00Z,108.340000,103.650000,109.070000,103.270000,18819418,reg,False,NFLX
49,2015-11-16T00:00:00Z,102.970000,111.350000,111.650000,101.860000,19866161,reg,False,NFLX
50,2015-11-17T00:00:00Z,112.110000,117.100000,118.790000,111.700000,33016302,reg,False,NFLX
