,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
0,2015-09-08T00:00:00Z,55.730000,55.875000,55.935000,55.110050,5511324,reg,False,NKE
1,2015-09-09T00:00:00Z,56.495000,54.930000,56.495000,54.805000,6349722,reg,False,NKE
2,2015-09-10T00:00:00Z,54.835000,55.190000,55.520000,54.470000,7362902,reg,False,NKE
3,2015-09-11T00:00:00Z,55.115000,55.910000,55.920000,54.995000,5589552,reg,False,NKE
4,2015-09-14T00:00:00Z,55.815000,55.945000,56.030000,55.570000,6833274,reg,False,NKE
5,2015-09-15T00:00:00Z,55.970000,56.920000,57.040000,55.400000,7699312,reg,False,NKE
6,2015-09-16T00:00:00Z,57.165000,57.790000,57.955000,56.920000,8104442,reg,False,NKE
7,2015-09-17T00:00:00Z,57.705000,57.635000,58.395000,57.280000,8062642,reg,False,NKE
8,2015-09-18T00:00:00Z,57.075000,57.525000,57.815000,56.880000,18614998,reg,False,NKE
9,2015-09-21T00:00:00Z,57.835000,58.280000,58.545000,57.380500,8746568,reg,False,NKE
10,2015-09-22T00:00:00Z,57.625000,57.985000,58.080000,57.190000,7555490,reg,False,NKE
11,2015-09-23T00:00:00Z,58.220000,57.715000,58.300000,57.600000,9055706,reg,False,NKE
12,2015-09-24T00:00:00Z,57.130000,57.395000,57.575000,56.750000,14352696,reg,False,NKE
13,2015-09-25T00:00:00Z,61.550000,62.500000,62.975000,61.350000,36968186,reg,False,NKE
14,2015-09-28T00:00:00Z,62.250000,61.070000,62.380000,60.425000,16450704,reg,False,NKE
15,2015-09-29T00:00:00Z,61.035000,59.835000,61.045000,59.525000,14414414,reg,False,NKE
16,2015-09-30T00:00:00Z,60.370000,61.485000,61.560000,60.370000,9437808,reg,False,NKE
17,2015-10-01T00:00:00Z,61.580000,61.915000,61.970000,60.640000,8994220,reg,False,NKE
18,2015-10-02T00:00:00Z,61.045000,62.605000,62.605000,60.780000,9114408,reg,False,NKE
19,2015-10-05T00:00:00Z,62.920000,62.135000,63.245000,62.045000,9647392,reg,False,NKE
20,2015-10-06T00:00:00Z,62.170000,61.595000,62.400000,61.295000,7665362,reg,False,NKE
21,2015-10-07T00:00:00Z,61.805000,61.050000,62.225000,60.500000,10223060,reg,False,NKE
22,2015-10-08T00:00:00Z,61.535000,62.455000,62.620000,61.335000,7622644,reg,False,NKE
23,2015-10-09T00:00:00Z,62.280000,62.470000,62.670000,62.045000,6940522,reg,False,NKE
24,2015-10-12T00:00:00Z,62.625000,63.215000,63.550000,62.510000,5448910,reg,False,NKE
25,2015-10-13T00:00:00Z,62.940000,62.905000,63.270000,62.795000,6355354,reg,False,NKE
26,2015-10-14T00:00:00Z,62.985000,62.920000,63.305000,62.695000,6509064,reg,False,NKE
27,2015-10-15T00:00:00Z,63.635000,64.395000,64.585000,63.480000,10764798,reg,False,NKE
28,2015-10-16T00:00:00Z,64.830000,65.235000,65.295000,64.435000,9321616,reg,False,NKE
29,2015-10-19T00:00:00Z,65.855000,66.605000,66.760000,65.555000,12587856,reg,False,NKE
30,2015-10-20T00:00:00Z,66.585000,66.185000,66.680000,65.985000,9104196,reg,False,NKE
31,2015-10-21T00:00:00Z,66.325000,66.235000,66.610000,65.915000,5505722,reg,False,NKE
32,2015-10-22T00:00:00Z,66.435000,66.205000,66.725000,65.290000,9294752,reg,False,NKE
33,2015-10-23T00:00:00Z,66.535000,65.265000,66.600000,64.455000,10517736,reg,False,NKE
34,2015-10-26T00:00:00Z,65.215000,65.690000,66.114000,65.135000,6882718,reg,False,NKE
35,2015-10-27T00:00:00Z,65.540000,65.410000,65.620000,64.830000,6150040,reg,False,NKE
36,2015-10-28T00:00:00Z,65.860000,65.645000,66.025000,64.965000,7091306,reg,False,NKE
37,2015-10-29T00:00:00Z,65.345000,65.560000,65.732500,64.980000,4958976,reg,False,NKE
38,2015-10-30T00:00:00Z,65.715000,65.515000,65.809200,65.035000,7230828,reg,False,NKE
39,2015-11-02T00:00:00Z,65.835000,65.595000,66.000000,64.730000,6123180,reg,False,NKE
40,2015-11-03T00:00:00Z,65.605000,65.700000,65.850000,65.340000,5491944,reg,False,NKE
41,2015-11-04T00:00:00Z,65.890000,65.180000,65.935000,64.940000,5190268,reg,False,NKE
42,2015-11-05T00:00:00Z,65.625000,65.930000,66.220000,65.231250,5068298,reg,False,NKE
43,2015-11-06T00:00:00Z,65.800000,65.890000,66.470000,65.680000,4837624,reg,False,NKE
44,2015-11-09T00:00:00Z,65.625000,65.240000,65.710000,64.635000,6181194,reg,False,NKE
45,2015-11-10T00:00:00Z,65.045000,65.000000,65.345000,64.765000,5287416,reg,False,NKE
46,2015-11-11T00:00:00Z,65.130000,63.710000,65.295000,63.640000,8578050,reg,False,NKE
47,2015-11-12T00:00:00Z,63.490000,62.990000,64.000000,62.705000,9387950,reg,False,NKE
48,2015-11-13T00:00:00Z,62.540000,60.930000,62.610000,60.577100,16370976,reg,False,NKE
49,2015-11-16T00:00:00Z,60.885000,61.730000,61.740000,60.670000,9146492,reg,False,NKE
50,2015-11-17T00:00:00Z,61.500000,61.290000,61.800000,60.210000,10581526,reg,False,NKE
51,2015-11-18T00:00:00Z,61.500000,62.890000,63.015000,61.330000,10597700,reg,False,NKE
52,2015-11-19T00:00:00Z,63.150000,62.890000,63.495000,62.690000,8557562,reg,False,NKE
53,2015-11-20T00:00:00Z,66.000000,66.325000,66.400000,65.240000,19064750,reg,False,NKE
54,2015-11-23T00:00:00Z,66.410000,66.230000,66.500000,65.890000,7135562,reg,False,NKE
55,2015-11-24T00:00:00Z,65.800000,66.255000,66.490000,65.630000,5311542,reg,False,NKE
56,2015-11-25T00:00:00Z,66.540000,67.065000,67.275000,66.515000,6989012,reg,False,NKE
57,2015-11-27T00:00:00Z,67.500000,67.165000,67.650000,66.665500,4528234,reg,False,NKE
58,2015-11-30T00:00:00Z,67.055000,66.140000,67.095000,65.820000,8738868,reg,False,NKE
59,2015-12-01T00:00:00Z,66.140000,66.655000,66.710000,65.960000,6857084,reg,False,NKE
60,2015-12-02T00:00:00Z,66.435000,66.325000,66.610000,66.050000,7965540,reg,False,NKE
61,2015-12-03T00:00:00Z,66.565000,64.560000,66.680000,64.500000,10649740,reg,False,NKE
62,2015-12-04T00:00:00Z,64.900000,66.165000,66.460000,64.900000,7410410,reg,False,NKE
63,2015-12-07T00:00:00Z,66.250000,65.800000,66.450000,65.305000,6189962,reg,False,NKE
64,2015-12-08T00:00:00Z,65.455000,65.850000,66.370000,65.215000,5605710,reg,False,NKE
65,2015-12-09T00:00:00Z,65.390000,64.420000,65.770000,63.870000,7442890,reg,False,NKE
66,2015-12-10T00:00:00Z,64.400000,64.320000,64.820000,64.005000,5682544,reg,False,NKE
67,2015-12-11T00:00:00Z,63.870000,63.145000,63.870000,62.835000,8276024,reg,False,NKE
68,2015-12-14T00:00:00Z,63.335000,63.930000,64.165000,63.060000,7991328,reg,False,NKE
69,2015-12-15T00:00:00Z,64.605000,64.305000,65.000000,64.175000,6869524,reg,False,NKE
70,2015-12-16T00:00:00Z,64.695000,65.465000,65.600000,64.410000,7542148,reg,False,NKE
71,2015-12-17T00:00:00Z,65.850000,65.110000,65.925000,65.035000,7400800,reg,False,NKE
72,2015-12-18T00:00:00Z,64.760000,64.260000,65.266200,64.185000,13804660,reg,False,NKE
73,2015-12-21T00:00:00Z,64.840000,64.900000,65.155000,64.305000,8972684,reg,False,NKE
74,2015-12-22T00:00:00Z,65.715000,65.925000,65.925000,64.910000,17218398,reg,False,NKE
75,2015-12-23T00:00:00Z,68.135000,64.355000,68.195000,63.910000,57319300,reg,False,NKE
76,2015-12-24T00:00:00Z,64.540000,63.180000,64.730000,62.150000,13890843,reg,False,NKE
77,2015-12-28T00:00:00Z,63.210000,63.810000,63.880000,62.800000,8786830,reg,False,NKE
78,2015-12-29T00:00:00Z,64.340000,64.260000,64.480000,64.020000,6708638,reg,False,NKE
79,2015-12-30T00:00:00Z,64.300100,63.250000,64.400000,63.170000,5817947,reg,False,NKE
80,2015-12-31T00:00:00Z,63.150000,62.500000,63.170000,62.500000,6454656,reg,False,NKE
81,2016-01-04T00:00:00Z,61.110000,61.520000,61.910000,60.860000,11626813,reg,False,NKE
