,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
0,2015-09-08T00:00:00Z,23.690000,23.950000,24.000000,23.690000,24941,reg,False,NTDOY
1,2015-09-09T00:00:00Z,24.350000,23.855000,24.350000,23.855000,73503,reg,False,NTDOY
2,2015-09-10T00:00:00Z,24.240000,24.190000,24.240000,24.046000,94075,reg,False,NTDOY
3,2015-09-11T00:00:00Z,23.800000,23.835000,23.872000,23.645000,38242,reg,False,NTDOY
4,2015-09-14T00:00:00Z,23.780000,23.730000,24.025500,23.530000,31664,reg,False,NTDOY
5,2015-09-15T00:00:00Z,23.730000,23.740000,23.750000,23.500000,28970,reg,False,NTDOY
6,2015-09-16T00:00:00Z,22.650000,22.690000,22.700000,22.430000,69710,reg,False,NTDOY
7,2015-09-17T00:00:00Z,21.730000,21.900000,22.260000,21.730000,170296,reg,False,NTDOY
8,2015-09-18T00:00:00Z,21.749000,21.530000,21.750000,21.530000,30750,reg,False,NTDOY
9,2015-09-21T00:00:00Z,21.550000,21.750000,21.750000,21.550000,35213,reg,False,NTDOY
10,2015-09-22T00:00:00Z,21.425500,21.410000,21.510000,21.300000,42684,reg,False,NTDOY
11,2015-09-23T00:00:00Z,21.417500,21.420000,21.610000,21.300000,30220,reg,False,NTDOY
12,2015-09-24T00:00:00Z,20.970000,20.990000,21.050000,20.630000,106657,reg,False,NTDOY
13,2015-09-25T00:00:00Z,21.420000,21.295000,21.460000,21.100000,143663,reg,False,NTDOY
14,2015-09-28T00:00:00Z,20.820000,20.650000,20.820000,20.630000,107108,reg,False,NTDOY
15,2015-09-29T00:00:00Z,20.355000,20.340000,20.550000,20.210000,96964,reg,False,NTDOY
16,2015-09-30T00:00:00Z,20.860000,20.968000,20.980000,20.720000,16821,reg,False,NTDOY
17,2015-10-01T00:00:00Z,21.520000,21.530000,21.530000,21.300000,28576,reg,False,NTDOY
18,2015-10-02T00:00:00Z,21.600000,21.890000,21.890000,21.550000,14222,reg,False,NTDOY
19,2015-10-05T00:00:00Z,22.200000,22.490000,22.540000,22.200000,58598,reg,False,NTDOY
20,2015-10-06T00:00:00Z,22.300000,22.220000,22.315000,22.010000,98158,reg,False,NTDOY
21,2015-10-07T00:00:00Z,21.898500,21.950000,21.982500,21.860000,41785,reg,False,NTDOY
22,2015-10-08T00:00:00Z,21.500000,21.790000,21.900000,21.500000,42843,reg,False,NTDOY
23,2015-10-09T00:00:00Z,22.026000,22.090000,22.250000,21.960000,19109,reg,False,NTDOY
24,2015-10-12T00:00:00Z,22.170000,22.130000,22.203000,22.040000,18392,reg,False,NTDOY
25,2015-10-13T00:00:00Z,22.850000,22.800000,23.100000,22.600000,48770,reg,False,NTDOY
26,2015-10-14T00:00:00Z,22.310000,22.350000,22.450000,22.220000,37023,reg,False,NTDOY
27,2015-10-15T00:00:00Z,23.010000,23.210000,23.210000,23.010000,124915,reg,False,NTDOY
28,2015-10-16T00:00:00Z,23.840000,23.885000,23.895000,23.800000,83549,reg,False,NTDOY
29,2015-10-19T00:00:00Z,24.090000,24.360000,24.360000,24.090000,67005,reg,False,NTDOY
30,2015-10-20T00:00:00Z,24.360000,24.220000,24.380000,24.110000,44651,reg,False,NTDOY
31,2015-10-21T00:00:00Z,24.255000,24.290000,24.360000,24.255000,15918,reg,False,NTDOY
32,2015-10-22T00:00:00Z,24.250000,24.335000,24.350000,24.160000,47213,reg,False,NTDOY
33,2015-10-23T00:00:00Z,24.700000,24.620000,24.700000,24.460000,88418,reg,False,NTDOY
34,2015-10-26T00:00:00Z,24.750000,24.863500,24.880000,24.730000,28672,reg,False,NTDOY
35,2015-10-27T00:00:00Z,24.270000,24.080000,24.270000,24.080000,24177,reg,False,NTDOY
36,2015-10-28T00:00:00Z,23.820000,24.360000,24.720000,23.459000,841839,reg,False,NTDOY
37,2015-10-29T00:00:00Z,21.650000,21.510000,21.910000,21.390000,386776,reg,False,NTDOY
38,2015-10-30T00:00:00Z,20.320000,20.220000,20.650000,20.050000,1025835,reg,False,NTDOY
39,2015-11-02T00:00:00Z,20.020000,20.435000,20.460000,20.020000,70971,reg,False,NTDOY
40,2015-11-03T00:00:00Z,20.430000,20.360000,20.430000,20.260000,126766,reg,False,NTDOY
41,2015-11-04T00:00:00Z,20.590000,20.360000,20.590000,20.300000,26920,reg,False,NTDOY
