,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
0,2015-09-08T00:00:00Z,7.970000,7.990000,7.990000,7.910000,2845112,reg,False,PSEC
1,2015-09-09T00:00:00Z,8.010000,7.930000,8.090000,7.910000,2553066,reg,False,PSEC
2,2015-09-10T00:00:00Z,7.950000,7.970000,8.040000,7.900000,1976257,reg,False,PSEC
3,2015-09-11T00:00:00Z,7.910000,7.940000,8.040000,7.910000,2422898,reg,False,PSEC
4,2015-09-14T00:00:00Z,7.950000,7.910000,8.000000,7.910000,1541963,reg,False,PSEC
5,2015-09-15T00:00:00Z,7.890000,7.900000,7.940000,7.830000,2069985,reg,False,PSEC
6,2015-09-16T00:00:00Z,7.920000,7.950000,7.980000,7.860000,2769391,reg,False,PSEC
7,2015-09-17T00:00:00Z,7.990000,7.880000,7.990000,7.815000,2479136,reg,False,PSEC
8,2015-09-18T00:00:00Z,7.810000,7.830000,7.950000,7.800000,2417629,reg,False,PSEC
9,2015-09-21T00:00:00Z,7.880000,7.820000,7.920000,7.810000,1359044,reg,False,PSEC
10,2015-09-22T00:00:00Z,7.800000,7.840000,7.870000,7.770000,1427836,reg,False,PSEC
11,2015-09-23T00:00:00Z,7.840000,7.800000,7.880000,7.800000,2061317,reg,False,PSEC
12,2015-09-24T00:00:00Z,7.810000,7.870000,7.885000,7.770000,2504566,reg,False,PSEC
13,2015-09-25T00:00:00Z,7.900000,7.830000,7.950000,7.830000,1959046,reg,False,PSEC
14,2015-09-28T00:00:00Z,7.780000,7.320000,7.800000,7.280000,5414382,reg,False,PSEC
15,2015-09-29T00:00:00Z,7.320000,7.080000,7.340000,7.040000,5715069,reg,False,PSEC
16,2015-09-30T00:00:00Z,7.080000,7.130000,7.270000,7.060000,5577902,reg,False,PSEC
17,2015-10-01T00:00:00Z,7.150000,7.400000,7.410000,7.150000,3894312,reg,False,PSEC
18,2015-10-02T00:00:00Z,7.360000,7.340000,7.400000,7.250000,2892319,reg,False,PSEC
19,2015-10-05T00:00:00Z,7.360000,7.410000,7.450000,7.350000,1981840,reg,False,PSEC
20,2015-10-06T00:00:00Z,7.430000,7.460000,7.470000,7.380000,1835853,reg,False,PSEC
