,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
0,2015-09-08T00:00:00Z,24.570000,24.900000,24.970000,24.570000,1618489,reg,False,SNE
1,2015-09-09T00:00:00Z,25.600000,25.060000,25.710000,25.000000,1786165,reg,False,SNE
2,2015-09-10T00:00:00Z,25.750000,25.930000,26.090000,25.548500,1559989,reg,False,SNE
3,2015-09-11T00:00:00Z,26.020000,26.160000,26.190000,25.870000,1408589,reg,False,SNE
4,2015-09-14T00:00:00Z,25.960000,25.960000,25.970000,25.780000,709810,reg,False,SNE
5,2015-09-15T00:00:00Z,25.570000,25.840000,25.910000,25.390000,1082835,reg,False,SNE
6,2015-09-16T00:00:00Z,25.930000,26.140000,26.325000,25.870000,1126963,reg,False,SNE
7,2015-09-17T00:00:00Z,26.580000,26.420000,26.860000,26.385000,1484869,reg,False,SNE
8,2015-09-18T00:00:00Z,25.760000,25.410000,25.910000,25.310000,1247563,reg,False,SNE
9,2015-09-21T00:00:00Z,25.570000,25.460000,25.760000,25.350000,735087,reg,False,SNE
10,2015-09-22T00:00:00Z,25.050000,25.020000,25.150000,24.760000,1215508,reg,False,SNE
11,2015-09-23T00:00:00Z,25.020000,24.980000,25.120000,24.730000,1825383,reg,False,SNE
12,2015-09-24T00:00:00Z,25.020000,25.020000,25.060000,24.510000,2705013,reg,False,SNE
13,2015-09-25T00:00:00Z,25.730000,25.340000,25.830000,25.165000,1505062,reg,False,SNE
14,2015-09-28T00:00:00Z,24.810000,24.050000,24.830000,23.868900,3395726,reg,False,SNE
15,2015-09-29T00:00:00Z,23.350000,23.610000,23.660000,23.260000,1673894,reg,False,SNE
16,2015-09-30T00:00:00Z,24.230000,24.500000,24.530000,24.090000,1074007,reg,False,SNE
17,2015-10-01T00:00:00Z,24.760000,24.720000,24.860000,24.530000,1581964,reg,False,SNE
18,2015-10-02T00:00:00Z,25.420000,25.760000,25.765000,24.860000,2212561,reg,False,SNE
19,2015-10-05T00:00:00Z,26.410000,26.490000,26.550000,26.280000,1832167,reg,False,SNE
20,2015-10-06T00:00:00Z,26.390000,26.330000,26.480000,26.080000,930120,reg,False,SNE
21,2015-10-07T00:00:00Z,26.750000,26.760000,26.800000,26.410000,593260,reg,False,SNE
22,2015-10-08T00:00:00Z,26.300000,26.420000,26.460000,26.010000,1677176,reg,False,SNE
23,2015-10-09T00:00:00Z,26.530000,26.600000,26.640000,26.410000,654563,reg,False,SNE
24,2015-10-12T00:00:00Z,26.670000,26.710000,26.810000,26.550000,746911,reg,False,SNE
25,2015-10-13T00:00:00Z,26.480000,26.410000,26.770000,26.386200,384197,reg,False,SNE
26,2015-10-14T00:00:00Z,26.210000,26.010000,26.370000,25.980000,477687,reg,False,SNE
27,2015-10-15T00:00:00Z,26.580000,26.990000,27.000000,26.550000,776666,reg,False,SNE
28,2015-10-16T00:00:00Z,27.160000,27.180000,27.190000,26.850000,770371,reg,False,SNE
29,2015-10-19T00:00:00Z,27.360000,27.430000,27.446300,27.170000,796386,reg,False,SNE
30,2015-10-20T00:00:00Z,27.230000,27.230000,27.340000,27.100000,563574,reg,False,SNE
