,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
0,2015-09-08T00:00:00Z,13.000000,13.230000,13.300000,12.500000,440223,reg,False,SRNE
1,2015-09-09T00:00:00Z,13.440000,12.650000,13.670000,12.610000,290567,reg,False,SRNE
2,2015-09-10T00:00:00Z,12.530000,13.280000,13.450000,12.515000,399289,reg,False,SRNE
3,2015-09-11T00:00:00Z,13.150000,13.530000,13.570000,12.970000,333188,reg,False,SRNE
4,2015-09-14T00:00:00Z,13.630000,12.890000,13.630000,12.639000,454997,reg,False,SRNE
5,2015-09-15T00:00:00Z,12.870000,12.880000,13.310000,12.630000,398558,reg,False,SRNE
6,2015-09-16T00:00:00Z,12.790000,12.300000,13.090000,12.260000,429895,reg,False,SRNE
7,2015-09-17T00:00:00Z,12.030000,12.950000,13.200000,12.000000,390141,reg,False,SRNE
8,2015-09-18T00:00:00Z,12.710000,13.010000,13.190000,12.584700,513072,reg,False,SRNE
9,2015-09-21T00:00:00Z,13.180000,11.720000,13.180000,11.689700,530619,reg,False,SRNE
10,2015-09-22T00:00:00Z,11.570000,11.100000,11.810000,11.010000,359918,reg,False,SRNE
11,2015-09-23T00:00:00Z,11.000000,10.840000,11.209700,10.540000,380964,reg,False,SRNE
12,2015-09-24T00:00:00Z,10.730000,10.160000,10.860000,10.060000,679180,reg,False,SRNE
13,2015-09-25T00:00:00Z,10.430000,9.290000,10.610000,9.120000,638496,reg,False,SRNE
14,2015-09-28T00:00:00Z,8.450000,8.060000,9.110000,8.050000,723110,reg,False,SRNE
15,2015-09-29T00:00:00Z,8.110000,8.090000,8.500000,7.640000,622753,reg,False,SRNE
16,2015-09-30T00:00:00Z,8.240000,8.390000,8.600000,8.060000,392467,reg,False,SRNE
17,2015-10-01T00:00:00Z,8.420000,8.070000,8.420000,7.800000,392488,reg,False,SRNE
18,2015-10-02T00:00:00Z,8.030000,8.710000,8.770000,7.900000,393919,reg,False,SRNE
19,2015-10-05T00:00:00Z,8.760000,8.440000,8.980900,8.190000,418684,reg,False,SRNE
20,2015-10-06T00:00:00Z,8.360000,8.400000,8.530000,7.830000,524496,reg,False,SRNE
21,2015-10-07T00:00:00Z,8.420000,8.510000,8.720000,8.030000,435838,reg,False,SRNE
22,2015-10-08T00:00:00Z,8.270000,8.560000,8.660000,7.930000,435751,reg,False,SRNE
23,2015-10-09T00:00:00Z,8.610000,8.610000,8.930000,8.360000,218695,reg,False,SRNE
24,2015-10-12T00:00:00Z,8.790000,8.470000,8.790000,8.260000,159071,reg,False,SRNE
25,2015-10-13T00:00:00Z,8.390000,8.150000,8.650000,8.120000,348385,reg,False,SRNE
