,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
0,2015-09-08T00:00:00Z,6.300000,6.550000,6.580000,6.270000,999969,reg,False,TXMD
1,2015-09-09T00:00:00Z,6.560000,6.600000,6.750000,6.410000,1307778,reg,False,TXMD
2,2015-09-10T00:00:00Z,6.670000,6.950000,6.960000,6.520000,997775,reg,False,TXMD
3,2015-09-11T00:00:00Z,6.940000,7.330000,7.370000,6.830000,1214763,reg,False,TXMD
4,2015-09-14T00:00:00Z,7.330000,7.040000,7.490000,6.950000,1450889,reg,False,TXMD
5,2015-09-15T00:00:00Z,6.990000,7.080000,7.140000,6.900000,986180,reg,False,TXMD
6,2015-09-16T00:00:00Z,7.040000,7.120000,7.190000,6.980000,1323095,reg,False,TXMD
7,2015-09-17T00:00:00Z,7.100000,7.190000,7.190000,7.020000,920744,reg,False,TXMD
8,2015-09-18T00:00:00Z,7.050000,7.270000,7.340000,7.015000,2035867,reg,False,TXMD
9,2015-09-21T00:00:00Z,7.690000,7.450000,7.800000,7.020100,4105349,reg,False,TXMD
10,2015-09-22T00:00:00Z,7.410000,7.220000,7.450000,7.110000,1388223,reg,False,TXMD
11,2015-09-23T00:00:00Z,7.330000,7.300000,7.350000,7.090000,963326,reg,False,TXMD
12,2015-09-24T00:00:00Z,7.240000,7.150000,7.250000,6.920000,1134601,reg,False,TXMD
13,2015-09-25T00:00:00Z,7.290000,6.330000,7.290000,6.280000,1458822,reg,False,TXMD
14,2015-09-28T00:00:00Z,6.250000,5.990000,6.439900,5.890000,1658570,reg,False,TXMD
15,2015-09-29T00:00:00Z,5.980000,5.820000,6.210000,5.700000,1535561,reg,False,TXMD
16,2015-09-30T00:00:00Z,5.930000,5.860000,6.230000,5.680000,1137704,reg,False,TXMD
17,2015-10-01T00:00:00Z,6.020000,5.880000,6.020000,5.720000,1276974,reg,False,TXMD
18,2015-10-02T00:00:00Z,5.780000,6.160000,6.170000,5.750000,799763,reg,False,TXMD
19,2015-10-05T00:00:00Z,6.200000,6.200000,6.370000,6.040000,838692,reg,False,TXMD
20,2015-10-06T00:00:00Z,6.240000,6.010000,6.320000,5.800000,1163844,reg,False,TXMD
21,2015-10-07T00:00:00Z,6.050000,6.290000,6.400000,5.900000,823303,reg,False,TXMD
22,2015-10-08T00:00:00Z,6.240000,6.310000,6.350000,5.960000,888626,reg,False,TXMD
23,2015-10-09T00:00:00Z,6.360000,6.450000,6.510000,6.200000,719736,reg,False,TXMD
24,2015-10-12T00:00:00Z,6.450000,6.340000,6.498000,6.270000,596484,reg,False,TXMD
25,2015-10-13T00:00:00Z,6.440000,5.940000,6.447000,5.860000,1156699,reg,False,TXMD
26,2015-10-14T00:00:00Z,5.940000,6.000000,6.180000,5.940000,647728,reg,False,TXMD
27,2015-10-15T00:00:00Z,6.000000,6.090000,6.090000,5.800000,1917796,reg,False,TXMD
28,2015-10-16T00:00:00Z,6.130000,6.210000,6.240000,6.030000,840443,reg,False,TXMD
29,2015-10-19T00:00:00Z,6.210000,6.170000,6.360000,5.985000,689907,reg,False,TXMD
30,2015-10-20T00:00:00Z,6.140000,5.800000,6.140000,5.780000,891193,reg,False,TXMD
31,2015-10-21T00:00:00Z,5.870000,5.390000,6.000000,5.300000,2030311,reg,False,TXMD
32,2015-10-22T00:00:00Z,5.490000,5.440000,5.535700,5.180000,1348841,reg,False,TXMD
33,2015-10-23T00:00:00Z,5.540000,5.690000,5.770000,5.472000,799853,reg,False,TXMD
34,2015-10-26T00:00:00Z,5.710000,5.880000,5.990000,5.560000,623664,reg,False,TXMD
35,2015-10-27T00:00:00Z,5.870000,5.920000,6.040000,5.830100,1139760,reg,False,TXMD
36,2015-10-28T00:00:00Z,5.980000,6.450000,6.450000,5.900000,1358492,reg,False,TXMD
37,2015-10-29T00:00:00Z,6.850000,6.060000,6.860000,6.010000,935874,reg,False,TXMD
38,2015-10-30T00:00:00Z,6.070000,5.870000,6.150000,5.840000,777275,reg,False,TXMD
39,2015-11-02T00:00:00Z,5.880000,6.410000,6.420000,5.850000,864747,reg,False,TXMD
40,2015-11-03T00:00:00Z,6.370000,6.470000,6.570000,6.230000,775407,reg,False,TXMD
41,2015-11-04T00:00:00Z,6.710000,6.410000,6.710000,6.360000,680641,reg,False,TXMD
42,2015-11-05T00:00:00Z,6.510000,6.610000,6.750000,6.450000,998698,reg,False,TXMD
43,2015-11-06T00:00:00Z,6.520000,6.820000,6.850000,6.360000,903106,reg,False,TXMD
44,2015-11-09T00:00:00Z,6.770000,6.780000,6.950000,6.670000,610091,reg,False,TXMD
45,2015-11-10T00:00:00Z,6.780000,6.780000,6.820000,6.415000,1149510,reg,False,TXMD
46,2015-11-11T00:00:00Z,6.810000,6.840000,7.060000,6.660000,1489479,reg,False,TXMD
47,2015-11-12T00:00:00Z,6.840000,6.850000,7.000000,6.720000,976154,reg,False,TXMD
48,2015-11-13T00:00:00Z,6.770000,6.910000,7.180000,6.750000,736357,reg,False,TXMD
49,2015-11-16T00:00:00Z,6.910000,7.000000,7.075000,6.800000,568563,reg,False,TXMD
50,2015-11-17T00:00:00Z,7.010000,7.060000,7.230000,6.910000,659081,reg,False,TXMD
51,2015-11-18T00:00:00Z,7.100000,7.250000,7.260000,6.990000,1016249,reg,False,TXMD
52,2015-11-19T00:00:00Z,7.260000,7.050000,7.260000,6.980000,765390,reg,False,TXMD
53,2015-11-20T00:00:00Z,7.100000,7.220000,7.250000,7.020000,973625,reg,False,TXMD
54,2015-11-23T00:00:00Z,7.210000,7.380000,7.430000,7.150000,1005777,reg,False,TXMD
55,2015-11-24T00:00:00Z,7.340000,7.480000,7.510000,7.280000,845208,reg,False,TXMD
56,2015-11-25T00:00:00Z,7.470000,7.640000,7.750000,7.450000,812247,reg,False,TXMD
57,2015-11-27T00:00:00Z,7.700000,7.630000,7.730000,7.585000,215676,reg,False,TXMD
58,2015-11-30T00:00:00Z,7.680000,7.510000,7.760000,7.380000,1183857,reg,False,TXMD
59,2015-12-01T00:00:00Z,7.600000,7.570000,7.840000,7.410000,1461865,reg,False,TXMD
60,2015-12-02T00:00:00Z,7.650000,7.230000,7.760000,7.160000,1225610,reg,False,TXMD
61,2015-12-03T00:00:00Z,7.470000,6.710000,7.470000,6.670000,1726822,reg,False,TXMD
62,2015-12-04T00:00:00Z,6.770000,6.870000,7.040000,6.540000,1271064,reg,False,TXMD
63,2015-12-07T00:00:00Z,6.950000,6.530000,7.000000,6.440000,1897328,reg,False,TXMD
64,2015-12-08T00:00:00Z,8.570000,9.060000,9.810000,8.350000,25084017,reg,False,TXMD
65,2015-12-09T00:00:00Z,8.690000,9.080000,9.310000,8.620000,6315428,reg,False,TXMD
66,2015-12-10T00:00:00Z,8.880000,9.020000,9.480000,8.782000,3924026,reg,False,TXMD
67,2015-12-11T00:00:00Z,8.860000,8.870000,9.080000,8.700000,2352362,reg,False,TXMD
68,2015-12-14T00:00:00Z,8.880000,8.650000,9.000000,8.330000,2607009,reg,False,TXMD
69,2015-12-15T00:00:00Z,8.710000,8.980000,9.000000,8.700000,1748746,reg,False,TXMD
70,2015-12-16T00:00:00Z,8.980000,9.080000,9.100000,8.800000,1382770,reg,False,TXMD
71,2015-12-17T00:00:00Z,9.060000,8.920000,9.238000,8.850000,1962596,reg,False,TXMD
72,2015-12-18T00:00:00Z,8.850000,9.180000,9.370000,8.800000,5353508,reg,False,TXMD
73,2015-12-21T00:00:00Z,9.190000,9.750000,9.950000,9.160000,3244845,reg,False,TXMD
74,2015-12-22T00:00:00Z,9.710000,10.090000,10.260000,9.710000,3086916,reg,False,TXMD
75,2015-12-23T00:00:00Z,10.100000,10.560000,10.685000,10.090000,2540903,reg,False,TXMD
