,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
0,2015-09-08T00:00:00Z,32.950000,33.140000,33.190000,32.810100,18851006,reg,False,T
1,2015-09-09T00:00:00Z,33.400000,32.780000,33.500000,32.720000,22559067,reg,False,T
2,2015-09-10T00:00:00Z,32.770000,32.750000,32.840000,32.550000,25602293,reg,False,T
3,2015-09-11T00:00:00Z,32.730000,32.720000,32.780000,32.560000,17626947,reg,False,T
4,2015-09-14T00:00:00Z,32.730000,32.550000,32.780000,32.510000,18504744,reg,False,T
5,2015-09-15T00:00:00Z,32.680000,32.860000,32.930000,32.540000,22371691,reg,False,T
6,2015-09-16T00:00:00Z,32.860000,32.940000,33.100000,32.760000,23514162,reg,False,T
7,2015-09-17T00:00:00Z,32.730000,32.780000,33.140000,32.410000,37922104,reg,False,T
8,2015-09-18T00:00:00Z,32.680000,32.550000,32.790000,32.410000,44627155,reg,False,T
9,2015-09-21T00:00:00Z,32.550000,32.560000,32.690000,32.450000,19870297,reg,False,T
10,2015-09-22T00:00:00Z,32.320000,32.270000,32.450000,32.130000,25518683,reg,False,T
11,2015-09-23T00:00:00Z,32.290000,32.200000,32.340000,32.040000,15739211,reg,False,T
12,2015-09-24T00:00:00Z,32.020000,32.110000,32.230000,31.950000,24741378,reg,False,T
13,2015-09-25T00:00:00Z,32.270000,32.330000,32.700000,32.160100,27104244,reg,False,T
14,2015-09-28T00:00:00Z,32.260000,31.900000,32.340000,31.880000,35924918,reg,False,T
15,2015-09-29T00:00:00Z,31.990000,32.070000,32.180000,31.850000,33785189,reg,False,T
16,2015-09-30T00:00:00Z,32.360000,32.580000,32.710000,32.240000,34815542,reg,False,T
17,2015-10-01T00:00:00Z,32.490000,32.530000,32.640000,32.170000,30815524,reg,False,T
18,2015-10-02T00:00:00Z,32.320000,32.640000,32.640000,32.185000,28505888,reg,False,T
19,2015-10-05T00:00:00Z,32.980000,33.430000,33.490000,32.970000,27876700,reg,False,T
20,2015-10-06T00:00:00Z,33.500000,33.310000,33.520000,33.250000,27867020,reg,False,T
21,2015-10-07T00:00:00Z,33.100000,33.120000,33.340000,33.010000,21049983,reg,False,T
22,2015-10-08T00:00:00Z,33.110000,33.400000,33.410000,32.870000,17305160,reg,False,T
23,2015-10-09T00:00:00Z,33.420000,33.140000,33.520000,33.000000,19351286,reg,False,T
24,2015-10-12T00:00:00Z,33.200000,33.300000,33.310000,33.070000,14204166,reg,False,T
25,2015-10-13T00:00:00Z,33.190000,33.220000,33.290000,33.060000,22148602,reg,False,T
26,2015-10-14T00:00:00Z,33.230000,33.270000,33.390000,33.105000,23682944,reg,False,T
27,2015-10-15T00:00:00Z,33.350000,33.490000,33.500000,33.200000,19170403,reg,False,T
28,2015-10-16T00:00:00Z,33.750000,33.830000,33.860000,33.540000,33236999,reg,False,T
29,2015-10-19T00:00:00Z,33.630000,33.630000,33.690000,33.420000,28250828,reg,False,T
30,2015-10-20T00:00:00Z,33.590000,33.750000,33.850000,33.515000,20085967,reg,False,T
31,2015-10-21T00:00:00Z,33.880000,33.600000,33.940000,33.330000,27244083,reg,False,T
32,2015-10-22T00:00:00Z,33.460000,33.960000,34.160000,33.460000,33298676,reg,False,T
33,2015-10-23T00:00:00Z,34.700000,33.740000,34.740000,33.620000,46231419,reg,False,T
34,2015-10-26T00:00:00Z,33.740000,33.660000,33.760000,33.480000,25419196,reg,False,T
35,2015-10-27T00:00:00Z,33.570000,33.210000,33.610000,33.160000,24455958,reg,False,T
36,2015-10-28T00:00:00Z,33.360000,33.420000,33.600000,33.125000,27816831,reg,False,T
37,2015-10-29T00:00:00Z,33.470000,33.550000,33.670000,33.280000,17841785,reg,False,T
38,2015-10-30T00:00:00Z,33.620000,33.510000,33.750000,33.510000,24581781,reg,False,T
39,2015-11-02T00:00:00Z,33.690000,33.610000,33.785000,33.390000,25538709,reg,False,T
40,2015-11-03T00:00:00Z,33.550000,33.630000,33.750000,33.460000,17702788,reg,False,T
41,2015-11-04T00:00:00Z,33.760000,33.480000,33.780000,33.440000,17296080,reg,False,T
42,2015-11-05T00:00:00Z,33.490000,33.340000,33.555000,33.270000,16142689,reg,False,T
43,2015-11-06T00:00:00Z,33.220000,33.160000,33.270000,32.860000,21494479,reg,False,T
44,2015-11-09T00:00:00Z,32.970000,32.840000,32.970000,32.750000,20434334,reg,False,T
45,2015-11-10T00:00:00Z,32.860000,32.790000,32.900000,32.670000,19263266,reg,False,T
46,2015-11-11T00:00:00Z,32.840000,32.920000,33.000000,32.800000,14038925,reg,False,T
47,2015-11-12T00:00:00Z,32.840000,32.690000,32.860000,32.630000,17408424,reg,False,T
48,2015-11-13T00:00:00Z,32.640000,32.310000,32.840000,32.310000,23626877,reg,False,T
49,2015-11-16T00:00:00Z,32.350000,33.040000,33.050000,32.220000,23601573,reg,False,T
50,2015-11-17T00:00:00Z,33.070000,33.260000,33.520000,33.060000,20367714,reg,False,T
51,2015-11-18T00:00:00Z,33.230000,33.540000,33.580000,33.020000,22233784,reg,False,T
52,2015-11-19T00:00:00Z,33.520000,33.620000,33.750000,33.470000,17963221,reg,False,T
53,2015-11-20T00:00:00Z,33.740000,33.660000,33.780000,33.550000,20454634,reg,False,T
54,2015-11-23T00:00:00Z,33.670000,33.460000,33.680000,33.430000,15273672,reg,False,T
55,2015-11-24T00:00:00Z,33.290000,33.390000,33.590000,33.200000,17717544,reg,False,T
56,2015-11-25T00:00:00Z,33.350000,33.450000,33.500000,33.240000,14601726,reg,False,T
57,2015-11-27T00:00:00Z,33.500000,33.570000,33.780000,33.480000,9327165,reg,False,T
58,2015-11-30T00:00:00Z,33.590000,33.670000,33.750000,33.420000,24902331,reg,False,T
59,2015-12-01T00:00:00Z,33.780000,33.770000,33.970000,33.580000,16761516,reg,False,T
60,2015-12-02T00:00:00Z,33.760000,33.560000,33.950000,33.540000,25851585,reg,False,T
61,2015-12-03T00:00:00Z,33.610000,33.100000,33.660000,33.010000,28748306,reg,False,T
62,2015-12-04T00:00:00Z,33.190000,34.110000,34.170000,33.167500,35685874,reg,False,T
63,2015-12-07T00:00:00Z,33.890000,34.270000,34.390000,33.880000,33956203,reg,False,T
64,2015-12-08T00:00:00Z,33.950000,33.850000,34.100000,33.630000,28419892,reg,False,T
65,2015-12-09T00:00:00Z,33.750000,33.570000,34.230000,33.471900,25052195,reg,False,T
66,2015-12-10T00:00:00Z,33.630000,33.670000,34.030000,33.550000,27712858,reg,False,T
67,2015-12-11T00:00:00Z,33.400000,33.170000,33.590000,33.090000,26950881,reg,False,T
68,2015-12-14T00:00:00Z,33.150000,33.600000,33.650000,33.110000,26398246,reg,False,T
69,2015-12-15T00:00:00Z,33.720000,33.810000,33.930000,33.410000,25359533,reg,False,T
70,2015-12-16T00:00:00Z,33.920000,34.400000,34.480000,33.900000,31192674,reg,False,T
71,2015-12-17T00:00:00Z,34.420000,34.030000,34.610000,34.030000,27720504,reg,False,T
72,2015-12-18T00:00:00Z,33.850000,33.600000,33.997500,33.600000,51216301,reg,False,T
73,2015-12-21T00:00:00Z,33.920000,34.090000,34.109000,33.750000,20392438,reg,False,T
74,2015-12-22T00:00:00Z,34.290000,34.410000,34.480000,34.010000,20427315,reg,False,T
75,2015-12-23T00:00:00Z,34.430000,34.780000,34.920000,34.430000,19309618,reg,False,T
76,2015-12-24T00:00:00Z,34.750000,34.660000,34.770000,34.544000,6862360,reg,False,T
77,2015-12-28T00:00:00Z,34.620000,34.760000,34.880000,34.600000,13928439,reg,False,T
78,2015-12-29T00:00:00Z,34.940000,34.930000,34.990000,34.790000,14368149,reg,False,T
79,2015-12-30T00:00:00Z,34.920000,34.740000,34.950000,34.680000,13754402,reg,False,T
80,2015-12-31T00:00:00Z,34.560000,34.410000,34.660000,34.390000,20261791,reg,False,T
81,2016-01-04T00:00:00Z,34.060000,34.350000,34.350000,34.000000,31779464,reg,False,T
82,2016-01-05T00:00:00Z,34.350000,34.590000,34.690000,34.120000,30707275,reg,False,T
83,2016-01-06T00:00:00Z,33.820000,34.060000,34.210000,33.720000,26911800,reg,False,T
84,2016-01-07T00:00:00Z,33.620000,33.510000,34.096100,33.510000,35111351,reg,False,T
85,2016-01-08T00:00:00Z,33.770000,33.540000,33.960000,33.410000,28090768,reg,False,T
86,2016-01-11T00:00:00Z,33.760000,33.950000,34.100000,33.535000,26438778,reg,False,T
