,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
0,2015-09-08T00:00:00Z,119.280000,120.160000,121.600000,116.640000,3644585,reg,False,USO
1,2015-09-09T00:00:00Z,119.920000,116.080000,120.480000,115.600000,2731409,reg,False,USO
2,2015-09-10T00:00:00Z,116.880000,119.440000,120.400000,115.760000,2436790,reg,False,USO
3,2015-09-11T00:00:00Z,116.960000,117.200000,118.880000,115.520000,3214238,reg,False,USO
4,2015-09-14T00:00:00Z,115.360000,115.120000,116.160000,114.000000,2223892,reg,False,USO
5,2015-09-15T00:00:00Z,115.840000,116.560000,117.440000,114.760000,2153034,reg,False,USO
6,2015-09-16T00:00:00Z,119.280000,122.880000,123.440000,118.480000,5533085,reg,False,USO
7,2015-09-17T00:00:00Z,123.040000,121.840000,124.280000,121.040000,3551766,reg,False,USO
8,2015-09-18T00:00:00Z,118.960000,116.960000,119.800000,115.360000,3599753,reg,False,USO
9,2015-09-21T00:00:00Z,119.360000,120.400000,121.520000,118.560000,2887369,reg,False,USO
10,2015-09-22T00:00:00Z,118.160000,119.360000,120.240000,117.360000,3544633,reg,False,USO
11,2015-09-23T00:00:00Z,120.640000,115.520000,121.920000,114.800000,4620523,reg,False,USO
12,2015-09-24T00:00:00Z,114.320000,116.720000,116.800000,113.888000,3334298,reg,False,USO
13,2015-09-25T00:00:00Z,118.480000,117.760000,119.840000,116.800000,2783440,reg,False,USO
14,2015-09-28T00:00:00Z,115.600000,115.040000,117.200000,114.560000,2541428,reg,False,USO
15,2015-09-29T00:00:00Z,116.080000,116.880000,118.080000,115.600000,1837553,reg,False,USO
16,2015-09-30T00:00:00Z,116.400000,117.440000,118.560000,115.680000,3060840,reg,False,USO
17,2015-10-01T00:00:00Z,121.200000,116.640000,121.600000,115.440000,4043957,reg,False,USO
18,2015-10-02T00:00:00Z,114.320000,118.160000,118.400000,113.680000,3491457,reg,False,USO
19,2015-10-05T00:00:00Z,120.240000,120.000000,121.280000,119.040000,2897723,reg,False,USO
20,2015-10-06T00:00:00Z,120.880000,125.920000,126.000000,120.640000,5568081,reg,False,USO
21,2015-10-07T00:00:00Z,127.440000,124.560000,128.400000,123.360000,5104097,reg,False,USO
22,2015-10-08T00:00:00Z,125.280000,128.320000,129.360000,124.559200,3707566,reg,False,USO
23,2015-10-09T00:00:00Z,128.320000,127.920000,129.592000,127.040000,3722325,reg,False,USO
24,2015-10-12T00:00:00Z,127.920000,122.480000,127.920000,121.600000,3620139,reg,False,USO
25,2015-10-13T00:00:00Z,121.440000,120.480000,124.992000,119.920000,3733812,reg,False,USO
26,2015-10-14T00:00:00Z,119.840000,120.400000,121.280000,118.800000,2345465,reg,False,USO
27,2015-10-15T00:00:00Z,118.480000,121.040000,121.120000,117.040000,4521070,reg,False,USO
28,2015-10-16T00:00:00Z,122.240000,121.760000,122.560000,119.280000,2893050,reg,False,USO
29,2015-10-19T00:00:00Z,119.280000,118.640000,120.160000,118.176800,2648726,reg,False,USO
30,2015-10-20T00:00:00Z,118.400000,117.840000,119.920000,116.880000,2532208,reg,False,USO
31,2015-10-21T00:00:00Z,116.000000,115.440000,117.320000,114.720000,3319377,reg,False,USO
32,2015-10-22T00:00:00Z,116.960000,116.080000,117.840000,114.800000,2078154,reg,False,USO
33,2015-10-23T00:00:00Z,113.840000,114.160000,115.120000,113.040000,3346844,reg,False,USO
34,2015-10-26T00:00:00Z,113.440000,112.080000,113.600000,112.000000,2644315,reg,False,USO
35,2015-10-27T00:00:00Z,109.680000,110.560000,110.800000,108.880000,3298109,reg,False,USO
36,2015-10-28T00:00:00Z,111.760000,117.520000,117.600000,111.280000,6116984,reg,False,USO
