,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
0,2015-09-08T00:00:00Z,2.520000,2.500000,2.570000,2.490000,11540179,reg,False,ZNGA
1,2015-09-09T00:00:00Z,2.520000,2.510000,2.550000,2.460000,16281319,reg,False,ZNGA
2,2015-09-10T00:00:00Z,2.500000,2.470000,2.530000,2.440000,15775893,reg,False,ZNGA
3,2015-09-11T00:00:00Z,2.470000,2.470000,2.510000,2.440000,14627727,reg,False,ZNGA
4,2015-09-14T00:00:00Z,2.450000,2.490000,2.500000,2.420000,7133168,reg,False,ZNGA
5,2015-09-15T00:00:00Z,2.480000,2.520000,2.575000,2.480000,7659011,reg,False,ZNGA
6,2015-09-16T00:00:00Z,2.520000,2.510000,2.530000,2.480000,7023247,reg,False,ZNGA
7,2015-09-17T00:00:00Z,2.500000,2.490000,2.540000,2.475000,5810207,reg,False,ZNGA
8,2015-09-18T00:00:00Z,2.480000,2.520000,2.520000,2.470000,9896427,reg,False,ZNGA
9,2015-09-21T00:00:00Z,2.500000,2.500000,2.540000,2.450000,8361368,reg,False,ZNGA
10,2015-09-22T00:00:00Z,2.470000,2.420000,2.500000,2.410000,8747539,reg,False,ZNGA
11,2015-09-23T00:00:00Z,2.440000,2.390000,2.450000,2.350000,9670111,reg,False,ZNGA
12,2015-09-24T00:00:00Z,2.380000,2.380000,2.420000,2.355000,7741425,reg,False,ZNGA
13,2015-09-25T00:00:00Z,2.400000,2.340000,2.420000,2.320000,8171362,reg,False,ZNGA
14,2015-09-28T00:00:00Z,2.330000,2.300000,2.350000,2.280000,12237325,reg,False,ZNGA
15,2015-09-29T00:00:00Z,2.290000,2.210000,2.330000,2.200000,11414461,reg,False,ZNGA
16,2015-09-30T00:00:00Z,2.250000,2.280000,2.310000,2.239900,10246287,reg,False,ZNGA
17,2015-10-01T00:00:00Z,2.300000,2.270000,2.350000,2.230000,7797478,reg,False,ZNGA
18,2015-10-02T00:00:00Z,2.220000,2.360000,2.370000,2.220000,7713267,reg,False,ZNGA
19,2015-10-05T00:00:00Z,2.360000,2.380000,2.420000,2.350000,8573423,reg,False,ZNGA
20,2015-10-06T00:00:00Z,2.390000,2.400000,2.430000,2.380000,7216418,reg,False,ZNGA
21,2015-10-07T00:00:00Z,2.420000,2.410000,2.490000,2.380000,14232789,reg,False,ZNGA
22,2015-10-08T00:00:00Z,2.410000,2.460000,2.480000,2.400000,7422941,reg,False,ZNGA
23,2015-10-09T00:00:00Z,2.460000,2.470000,2.490000,2.440000,3020109,reg,False,ZNGA
24,2015-10-12T00:00:00Z,2.470000,2.470000,2.490000,2.450000,4554998,reg,False,ZNGA
25,2015-10-13T00:00:00Z,2.460000,2.470000,2.530000,2.449900,3554666,reg,False,ZNGA
26,2015-10-14T00:00:00Z,2.470000,2.470000,2.510000,2.460000,3239098,reg,False,ZNGA
27,2015-10-15T00:00:00Z,2.480000,2.510000,2.520000,2.480000,6201275,reg,False,ZNGA
28,2015-10-16T00:00:00Z,2.510000,2.460000,2.530000,2.420000,10110303,reg,False,ZNGA
29,2015-10-19T00:00:00Z,2.450000,2.440000,2.490000,2.420000,3280783,reg,False,ZNGA
30,2015-10-20T00:00:00Z,2.420000,2.380000,2.450000,2.370000,6583782,reg,False,ZNGA
31,2015-10-21T00:00:00Z,2.380000,2.370000,2.410000,2.340000,7697447,reg,False,ZNGA
32,2015-10-22T00:00:00Z,2.380000,2.420000,2.480000,2.380000,7459168,reg,False,ZNGA
33,2015-10-23T00:00:00Z,2.430000,2.430000,2.450000,2.390000,5140924,reg,False,ZNGA
34,2015-10-26T00:00:00Z,2.420000,2.400000,2.480000,2.370000,9418093,reg,False,ZNGA
35,2015-10-27T00:00:00Z,2.390000,2.390000,2.440000,2.355000,7817295,reg,False,ZNGA
36,2015-10-28T00:00:00Z,2.410000,2.430000,2.450000,2.360000,5934601,reg,False,ZNGA
37,2015-10-29T00:00:00Z,2.430000,2.375000,2.450000,2.370000,7535638,reg,False,ZNGA
38,2015-10-30T00:00:00Z,2.380000,2.370000,2.410000,2.360000,7251455,reg,False,ZNGA
39,2015-11-02T00:00:00Z,2.370000,2.390000,2.430000,2.360000,12754805,reg,False,ZNGA
40,2015-11-03T00:00:00Z,2.480000,2.450000,2.490000,2.420000,20629443,reg,False,ZNGA
41,2015-11-04T00:00:00Z,2.490000,2.550000,2.560000,2.480000,21367479,reg,False,ZNGA
42,2015-11-05T00:00:00Z,2.540000,2.580000,2.580000,2.495000,13416117,reg,False,ZNGA
43,2015-11-06T00:00:00Z,2.550000,2.570000,2.580000,2.510000,8302736,reg,False,ZNGA
44,2015-11-09T00:00:00Z,2.540000,2.520000,2.620000,2.520000,7204627,reg,False,ZNGA
45,2015-11-10T00:00:00Z,2.500000,2.520000,2.550000,2.500000,6769838,reg,False,ZNGA
46,2015-11-11T00:00:00Z,2.520000,2.540000,2.570000,2.520000,6915059,reg,False,ZNGA
47,2015-11-12T00:00:00Z,2.530000,2.470000,2.550000,2.470000,7375383,reg,False,ZNGA
48,2015-11-13T00:00:00Z,2.460000,2.460000,2.510000,2.430000,6151605,reg,False,ZNGA
49,2015-11-16T00:00:00Z,2.460000,2.470000,2.490000,2.440000,6182436,reg,False,ZNGA
50,2015-11-17T00:00:00Z,2.470000,2.470000,2.540000,2.460000,6831347,reg,False,ZNGA
51,2015-11-18T00:00:00Z,2.470000,2.550000,2.550000,2.470000,5441152,reg,False,ZNGA
52,2015-11-19T00:00:00Z,2.530000,2.530000,2.580000,2.530000,6793899,reg,False,ZNGA
53,2015-11-20T00:00:00Z,2.510000,2.540000,2.580000,2.510000,5331652,reg,False,ZNGA
54,2015-11-23T00:00:00Z,2.540100,2.540000,2.580000,2.540000,4834861,reg,False,ZNGA
55,2015-11-24T00:00:00Z,2.510000,2.550000,2.580000,2.510000,5438533,reg,False,ZNGA
56,2015-11-25T00:00:00Z,2.520000,2.595000,2.650000,2.520000,10112409,reg,False,ZNGA
57,2015-11-27T00:00:00Z,2.580000,2.620000,2.640000,2.570000,5028013,reg,False,ZNGA
58,2015-11-30T00:00:00Z,2.600000,2.580000,2.640000,2.550000,7130470,reg,False,ZNGA
59,2015-12-01T00:00:00Z,2.590000,2.600000,2.620000,2.590000,5848447,reg,False,ZNGA
60,2015-12-02T00:00:00Z,2.580000,2.630000,2.650000,2.570000,10420401,reg,False,ZNGA
61,2015-12-03T00:00:00Z,2.640000,2.580000,2.690000,2.580000,7265816,reg,False,ZNGA
62,2015-12-04T00:00:00Z,2.610000,2.630000,2.670000,2.590000,8932283,reg,False,ZNGA
63,2015-12-07T00:00:00Z,2.620000,2.610000,2.660000,2.580000,4815186,reg,False,ZNGA
64,2015-12-08T00:00:00Z,2.600000,2.600000,2.640000,2.570000,7288215,reg,False,ZNGA
65,2015-12-09T00:00:00Z,2.600000,2.550000,2.620000,2.500000,8382831,reg,False,ZNGA
66,2015-12-10T00:00:00Z,2.540000,2.570000,2.610000,2.540000,4518703,reg,False,ZNGA
67,2015-12-11T00:00:00Z,2.550000,2.460000,2.590000,2.440000,9586015,reg,False,ZNGA
68,2015-12-14T00:00:00Z,2.490000,2.540000,2.580000,2.470000,9243775,reg,False,ZNGA
69,2015-12-15T00:00:00Z,2.560000,2.570000,2.590000,2.520000,6046466,reg,False,ZNGA
70,2015-12-16T00:00:00Z,2.575000,2.590000,2.620000,2.500000,10638339,reg,False,ZNGA
71,2015-12-17T00:00:00Z,2.590000,2.600000,2.630000,2.570000,7566487,reg,False,ZNGA
72,2015-12-18T00:00:00Z,2.580000,2.640000,2.640000,2.570000,18055439,reg,False,ZNGA
73,2015-12-21T00:00:00Z,2.630000,2.615000,2.680000,2.550000,13915265,reg,False,ZNGA
74,2015-12-22T00:00:00Z,2.630000,2.580000,2.665000,2.580000,8279741,reg,False,ZNGA
75,2015-12-23T00:00:00Z,2.600000,2.640000,2.700000,2.540000,9636775,reg,False,ZNGA
76,2015-12-24T00:00:00Z,2.640000,2.710000,2.745000,2.635000,7939714,reg,False,ZNGA
77,2015-12-28T00:00:00Z,2.700000,2.690000,2.710000,2.660000,7621195,reg,False,ZNGA
78,2015-12-29T00:00:00Z,2.695000,2.640000,2.700000,2.600000,15153509,reg,False,ZNGA
