,TickerLabel
0,CPRX
1,CRBP
2,BABA
3,SNE
4,APHA
5,GOOGL
6,MSFT
7,AMZN
8,NRZ
9,PTON
10,PYPL
11,NKE
12,V
13,UBER
14,GM
15,FB
16,KO
17,MRNA
18,NVDA
19,PLUG
20,TXMD
21,ZNGA
22,WMT
23,JNJ
24,NTDOY
25,DKNG
26,ET
27,PENN
28,GE
29,JPM
30,DIS
31,NFLX
32,AZN
33,AAPL
34,LYFT
35,BP
36,SNAP
37,LUV
38,NOK
39,DAL
40,BAC
41,PFE
42,WORK
43,SIRI
44,NIO
45,ZM
46,SBUX
47,AMD
48,SQ
49,SAVE
50,HAL
51,KOS
52,BA
53,GILD
54,UAL
55,BRK.B
56,NCLH
57,INTC
58,T
59,RCL
60,MRO
61,RKT
62,INO
63,JBLU
64,WFC
65,CRON
66,CGC
67,MGM
68,TSLA
69,ACB
70,AAL
71,BYND
72,TWTR
73,F
74,GPRO
75,MFA
76,PLAY
77,GPS
78,XOM
79,TLRY
80,CCL
81,FIT
82,NKLA
83,AMC
84,SPCE
85,VOO
86,GUSH
87,WKHS
88,USO
89,IVR
90,SPY
91,UCO
92,VSLR
93,IBIO
94,SPHD
95,PSEC
96,KODK
97,SRNE
98,FCEL
99,NVAX
